微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
6081133104.0,,cerise03,2024-10-01 15:45:46,我去柯南展的vlog出锅了(((o(*ﾟ▽ﾟ*)o))) 请问为什么我的语速这么慢。。可是这是我的正常语速。。所以你们知道我剪那些读书视频的时候是多崩溃了(╯°□°）╯︵ ┻━┻总之，柯南餐厅再难吃我也会去吃，柯南电影再难看我也会去看w(ﾟДﾟ)w cerise03的微博视频 ,0.0,4.0,24.0,中国,上海,上海,b站：cerisecerise ig：cerise_032,524.0,2.7万,f,https://m.weibo.cn/u/6081133104?,https://m.weibo.cn/detail/OzxfDdrKR,OzxfDdrKR
7311202912.0,,钩钩人,2024-10-01 06:28:13,天啊看西瓜说柯南看了一个月了每次画画都会看，居然还没有能看完所有的才看到三百多集一共五百多投稿 啊啊啊啊啊 西瓜视频太上瘾了！！ ,0.0,2.0,49.0,中国,广东,深圳,会好起来的，一切。-🧊 *清稿中，稿件相关的私信可能会被放置非常不好意思！,792.0,29.2万,f,https://m.weibo.cn/u/7311202912?,https://m.weibo.cn/detail/OztBjEbxB,OztBjEbxB
5658828484.0,,-狄里-,2024-10-01 00:01:47,#灰原哀# #CP30灰原哀街道#  一个摊宣，画册实物请看p10-12或微博相册～ 时间：10.6-10.7  街道：柯南专区-灰原哀街道 摊位：陆C05 ,45.0,62.0,243.0,中国,江苏,镇江,♥うちはオビト,1333.0,11.6万,f,https://m.weibo.cn/u/5658828484?,https://m.weibo.cn/detail/Ozr4t1RIG,Ozr4t1RIG
7692523234.0,,原代琼,2024-09-30 22:33:48,我妹今晚在那看了柯南，于是兴致勃勃回去把书柜里的漫画掏来给她看了(。喂要这么做姐姐吗 ,0.0,11.0,74.0,中国,福建,龙岩,杂食同人女的碎碎念小号捏,61.0,7.7万,m,https://m.weibo.cn/u/7692523234?,https://m.weibo.cn/detail/OzquL2iYq,OzquL2iYq
7537917185.0,OzyP1FA6Y,懒得吃薯饼,2024-10-01 19:45:43,名侦探柯南周边  出出出 ,0.0,1.0,1.0,中国,湖南,,没你我瞬间变尘埃,870.0,1019,f,https://m.weibo.cn/u/7537917185?,https://m.weibo.cn/detail/OzyP1FA6Y,
