微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5132090519325648,PdsOTD81G,作家陈岚,2025-02-09 10:46:32,张兰汪小菲被抖音封了。 有网友说，最直接受损的不还是大S的两个孩子，那都是他们的财产啊……张兰七十了，这钱也不能带进棺材吧。——这么一说，竟无法反驳。  有评论文章说，建立在流量基础上的企业，根基本身就不稳固。也容易被反噬。这句话是大实话也无法反驳。  互联网时代改写了过去的商业规则， ...全文,620,1325,16387,中国,上海,上海,作家，编剧。公众号：岚说呢。抖音号：作家陈岚。微信视频号：您说呢,2409,164.9万,女,https://weibo.com/u/1463707815,https://m.weibo.cn/detail/PdsOTD81G,PdsOTD81G
5132430520353559,PdBFi1tYz,野布后生,2025-02-10 09:17:34,我怀疑你在学雷军 ,0,1,0,中国,江苏,泰州,散户的自我进化,2672,493,男,https://weibo.com/u/2764559665,https://m.weibo.cn/detail/PdBFi1tYz,PdBFi1tYz
5132430470023611,PdBFd068P,飞得更高17746,2025-02-10 09:17:23,#雷军开小米YU7实测一千公里#听人劝吃饱饭，尾灯真的是应该改一改的，太小了！@雷军 ,0,0,0,中国,广东,N/A,,147,93,男,https://weibo.com/u/5657934713,https://m.weibo.cn/detail/PdBFd068P,PdBFd068P
5132430346027791,PdBF0pi6r,冯智炙爱烈阳,2025-02-10 09:16:53,好好的机会，玩成了危机@雷军  换个公关吧，我九年义务教育都比这个强 那可是第一批支持小米汽车的铁粉，竟然不好好维护，搞成了敌人，我一个路人都看不下去了，天天被网上嘲讽，现在又被自己喜欢支持的品牌背刺 ,0,0,0,中国,江苏,N/A,,56,2,男,https://weibo.com/u/5653303069,https://m.weibo.cn/detail/PdBF0pi6r,PdBF0pi6r
5132430094896998,PdBEBkxVQ,華爾街小綿楊,2025-02-10 09:15:53,除了运动100次，还想再挑战一下读100本书 虽然心里有点嘀咕100本会不会太多万一完不成，不又走流水账的一条flag了，转念一想人总有有些追求和要求，总要有些自律才能获得相对的自由，万一我看完了呢 以下是第一本，打卡@雷军 ,0,0,0,中国,江苏,南京,,40,2,女,https://weibo.com/u/7979134117,https://m.weibo.cn/detail/PdBEBkxVQ,PdBEBkxVQ
5132403271532646,PdAXl6qI6,电商派,2025-02-10 07:29:18,雷军调研后发觉不干新能源车会落伍后，曾想过退休，决心造车是个巨大的转变。 ,25,7,31,中国,广东,深圳,电商行业信息服务平台，合作、交流：QQ/微信：2881339633,557,426.6万,男,https://weibo.com/u/1956700750,https://m.weibo.cn/detail/PdAXl6qI6,PdAXl6qI6
5132429474138159,PdBDBhmwv,开小米SU7的囧哥,2025-02-10 09:13:25,@开小米SU7的囧哥：雷总。咱这个方向盘，能不能也开放选配金标@雷军 评论配图,0,0,0,中国,广东,深圳,❇️热爱电车的设计师阿囧 ⚡️「人车家」产品设计｜小小设计师👁️‍🗨️小米SU7 Max车主 ✅车主社群来玩👋🤔哈喽CAN_NUA,1120,916,男,https://weibo.com/u/1977302045,https://m.weibo.cn/detail/PdBDBhmwv,PdBDBhmwv
5132429268092787,PdBDgxXiP,35的温柔v,2025-02-10 09:12:36,雷军家乡：“小城大爱”屡次全网刷屏　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　... 网页链接 ,0,0,0,中国,湖北,随州,,53,2,女,https://weibo.com/u/5319130512,https://m.weibo.cn/detail/PdBDgxXiP,PdBDgxXiP
5132429231392172,PdBDd5Qao,鹏城小鸟,2025-02-10 09:12:27,【#V影响力榜# 2025年第05周】祝贺@雷军 获得了「名人企业家周榜」的第1名，为你点个赞！点此查看完整榜单网页链接 ,0,0,0,中国,广东,惠州,立志当存高远,269,41,男,https://weibo.com/u/2614122651,https://m.weibo.cn/detail/PdBDd5Qao,PdBDd5Qao
5132428643666436,PdBCgfnO4,看竟陵,2025-02-10 09:10:07,雷军家乡：“小城大爱”屡次全网刷屏　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　... 网页链接 ,0,0,0,中国,湖北,N/A,,135,5,男,https://weibo.com/u/6791510639,https://m.weibo.cn/detail/PdBCgfnO4,PdBCgfnO4
5132428635799892,PdBCfokOE,机械即是艺术,2025-02-10 09:10:04,正视对手是迈向成功的第一步， #雷军# #马斯克# #小米汽车#。 机械即是艺术的微博视频 ,0,0,0,中国,北京,北京,最新机械工艺、工业流水线展示，让你了解到机械的魅力,72,49.2万,男,https://weibo.com/u/6605420925,https://m.weibo.cn/detail/PdBCfokOE,PdBCfokOE
5132428205097915,PdBBylocr,小可爱钱来,2025-02-10 09:08:23,#雷军开小米YU7实测一千公里# 12.99 ,0,0,0,中国,江苏,泰州,想发啥就发啥了                                                                  💕 有爱人 有人爱 💕,3162,400,女,https://weibo.com/u/5344264098,https://m.weibo.cn/detail/PdBBylocr,PdBBylocr
