微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5119746611609619,P8hHn6KJB,青姑i韩饭,2025-01-06 09:16:14,由傅杰执导，#傅汉源# #王冰冰# 领衔主演的【娇娇王妃】在#横店影视城# 开机！愿拍摄顺利，大吉大利！ 青姑i韩饭的微博视频 ,0,0,1,中国,北京,北京,,72,14.9万,女,https://weibo.com/u/5990887550,https://m.weibo.cn/detail/P8hHn6KJB,P8hHn6KJB
5119721994715164,P8h3FjMD2,阿郎的美食说,2025-01-06 07:38:25,#王冰冰# 给人的感觉非常自然亲切，特别是笑起来的时候格外甜美，充满感染力。 阿郎的美食说的微博视频 ,0,1,1,中国,北京,北京,时尚圈是个圈☆,68,28万,女,https://weibo.com/u/6311876272,https://m.weibo.cn/detail/P8h3FjMD2,P8h3FjMD2
5119721919481890,P8h3xDMFI,是瓜瓜蛙,2025-01-06 07:38:08,王冰冰模仿机器人拜年，真的太有趣了，#老婆# #好美#。 是瓜瓜蛙的微博视频 ,0,1,0,中国,北京,北京,国内外明星的综合类搞笑视频,262,45.9万,男,https://weibo.com/u/6085757586,https://m.weibo.cn/detail/P8h3xDMFI,P8h3xDMFI
5119637307786414,P8eR4wFBk,娱乐转转乐,2025-01-06 02:01:55,#起猛了看到撒贝宁王冰冰玩赛车  好酷！能不能带我一个！#王冰冰赛车像林黛玉骑鬼火 #金享推荐官#微博VC计划#  娱乐转转乐的微博视频 ,0,1,0,中国,浙江,杭州,,104,15.7万,男,https://weibo.com/u/5059614962,https://m.weibo.cn/detail/P8eR4wFBk,P8eR4wFBk
5119609835100185,P8e8LloN3,三小只的快乐老家,2025-01-06 00:12:45,#说走就走# #新年送你一套小红花# 定格美好瞬间，启航全新旅程。锁定央视频，与总台记者王冰冰一同开启新年之旅，让心愿照亮前行的道路。 三小只的快乐老家的微博视频 ,0,0,0,中国,北京,北京,只为凯源玺，只为TFBOYS！ 不接广告，勿扰！,150,15.6万,男,https://weibo.com/u/6293328029,https://m.weibo.cn/detail/P8e8LloN3,P8e8LloN3
5119456050941671,P8a8J3WYf,吻奶珊的喵酱,2025-01-05 14:01:40,王冰冰#王冰冰#  那些你很冒险的梦，我陪你去疯。 ,1,8,99,中国,浙江,温州,随心所欲,477,1.9万,女,https://weibo.com/u/1799906660,https://m.weibo.cn/detail/P8a8J3WYf,P8a8J3WYf
5119604349732095,P8dZUEPLh,伊芙布德甘市糖葫芦,2025-01-05 23:50:57,超开心，在阳光明媚狂风大作的这天，我的菊陪我到故宫圆了还珠格格梦 路上还被一个旅行团的几位国外友人排队轮流跟我们要了合照，夸我们beautiful，hhh自信心瞬间爆棚了，跟着五矿王冰冰出门就是沾光啊 ,0,2,1,中国,北京,北京,Life is fantastic~！,576,636,女,https://weibo.com/u/5272589514,https://m.weibo.cn/detail/P8dZUEPLh,P8dZUEPLh
5119600167229233,P8dTaukEx,今天综艺笑料,2025-01-05 23:34:20,小尼说发出来要加tag 央视 尼格买提 王耀庆 王冰冰 此生要去的100个地方   改写后的文本：小尼提到发布时要加上标签 #央视# #尼格买提# #王耀庆# 王冰冰 此生要去的100个地方 今天综艺笑料的微博视频 ,0,0,0,中国,北京,北京,为了寻找到王子，我要吻遍所有的青蛙。,307,35.2万,男,https://weibo.com/u/6041830248,https://m.weibo.cn/detail/P8dTaukEx,P8dTaukEx
5119598452278961,P8dQp9yRr,小猪可约,2025-01-05 23:27:31,有这种好事怎么不早点告诉我！任鲁豫、王冰冰化身人形许愿机，哈尔滨冰雪大世界桃花树成许愿池。 小猪可约的微博视频 ,0,0,0,中国,内蒙古,呼和浩特,不约，谢谢！视频来源网络，如有侵权请联系删除！,889,2.6万,女,https://weibo.com/u/7696990499,https://m.weibo.cn/detail/P8dQp9yRr,P8dQp9yRr
5119595252026913,P8dLf8vi9,娱乐冲浪菌,2025-01-05 23:14:48,🍉 王冰冰被退回来了，现在主持吉林卫节目了。 ,0,0,0,中国,辽宁,大连,一定要身材好才行吗，胃口好爱吃🍉不行吗 商务私,417,2171,男,https://weibo.com/u/7629231377,https://m.weibo.cn/detail/P8dLf8vi9,P8dLf8vi9
5119573064419266,P8dbsixEu,龙首原上望长安,2025-01-05 21:46:38,王冰冰  大家晚上好 截修·《说走就走·哈尔滨 | 冰天雪地任逍遥》 横屏5120×2880，竖屏2880×5120 冰冰就是冰天雪地中的暖宝宝 （大家记得加载原图） ,13,32,59,中国,陕西,西安,别取关，换了个昵称而已，会继续发冰冰截修,489,439,男,https://weibo.com/u/6341534190,https://m.weibo.cn/detail/P8dbsixEu,P8dbsixEu
5119557339189939,P8cM5CyIP,sym诗宇末,2025-01-05 20:44:09,王冰冰  来自：哈尔滨冰雪大世界 sym诗宇末的微博视频 ,2,3,16,中国,江苏,苏州,普普通通打工人，勤勤恳恳打工魂,94,696,男,https://weibo.com/u/3844400647,https://m.weibo.cn/detail/P8cM5CyIP,P8cM5CyIP
