微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5162180430530493,Pq5B12e0l,-雨是痛的载体_,2025-05-03 11:33:06,林俊杰 JJ本身就是一个很好的人 因为担心粉丝抢不过科技 自费开发app JJ20 设置了只有真爱粉才能回答上来的问题 只为让真正喜欢他的人买到原价票 歌手从来都是靠实力和作品说话 我们作为他的粉丝也很幸福 脱粉的人我只能说 JJ根本不缺你们这种三分钟热度的 林俊杰无愧于粉丝和歌迷的喜爱 全世 ...全文,0,1,3,中国,江西,景德镇,我爱你@鞠婧祎,609,2903,女,https://weibo.com/u/7782798711,https://m.weibo.cn/detail/Pq5B12e0l,Pq5B12e0l
5161992743818739,Pq0Iig1qz,石榴十六啊,2025-05-02 23:07:18,看了抖音一些所谓无理由的脱粉 ，说要更爱自己，咋了，粉的时候不爱你自己啊，那前排不是为了满足你自己才多花钱买的，所有快乐一字不提，苦恼推给林俊杰了是吧。我确实不喜欢以喜欢他的时间作为评判爱的标准，真论起来我的十五年放在很多他刚出道就一直支持他的人眼里也什么都不是，但我还是希望有些 ...全文,0,6,11,中国,黑龙江,N/A,本职学生，爱国爱党！🇨🇳 🇨🇳 🇨🇳                            我林优秀且迷人😎,74,2571,女,https://weibo.com/u/3611457990,https://m.weibo.cn/detail/Pq0Iig1qz,Pq0Iig1qz
5161796746872302,PpVCasPNA,日日暖心事事顺利,2025-05-02 10:08:29,#林俊杰# 帅林是歌手不是和尚，不必戒色。#林俊杰finallap# 如果帅林恋爱的，他是一个恨不得和全世界官宣自己恋爱的人，要不是担心，女友承受不必要的压力和诋毁。以及影响部分粉丝的心情。他每一任都会官宣。如果帅林恋爱了，你脱粉，不去演唱会，完全可以。1.说她工作人员训粉，态度不好，你骂工 ...全文,0,0,5,中国,黑龙江,伊春,长长久久！健健康康！用心用脑投入玩！活到一百岁。希望早日找到彼此相爱的良人，共同生个属于我们的健康、聪明、善良的宝宝。,280,332,女,https://weibo.com/u/1640097641,https://m.weibo.cn/detail/PpVCasPNA,PpVCasPNA
5161507780299816,PpO661fZK,如林_,2025-05-01 15:00:14,现在一些人的思想非黑即白，比如要么极端到把之前做成标本，要么无差别攻击偏爱之前的所有人，我的看法脱粉自由，诋毁大可不必，除非他做了wf/严重违反道德的事，可人非一成不变的物品，这些年不管是我们还是林俊杰都在成长，或多或少有偏爱正常，比如我虽然这两年线下多，但要只说情感还是之前更浓， ...全文,0,0,1,中国,陕西,西安,超爱俊包，脾气一般挺好，不属于任何粉圈，纯solo，想发啥发啥，行为仅代表个人，唯一本命林俊杰，但好感很多，随时变,555,710,女,https://weibo.com/u/2949983721,https://m.weibo.cn/detail/PpO661fZK,PpO661fZK
5161499941929446,PpNTs85W6,絕望的聖所電子榨菜,2025-05-01 14:29:05,在隔壁看到了那个脱粉的日志，随之我在23年发的一个关于圣所的视频可以大增流量，我知道她们是通过搜索林俊杰圣所是什么到我的视频里面的，我只想说还是希望大家不要被一些言论带走吧，各有各的决断，类似于把圣所的他当作标本这类的话完全是无稽之谈，那年圣所启航，我们直至今日都记得他的笑颜如花踏 ...全文,0,3,4,中国,广西,桂林,聖所，請赦免這灰色的人間,435,548,女,https://weibo.com/u/7902047494,https://m.weibo.cn/detail/PpNTs85W6,PpNTs85W6
5161495226747620,PpNLQsjmA,你说的都对酱,2025-05-01 14:10:21,#林俊杰 脱粉#的相关内容，来智搜看看。 林俊杰 脱粉 ,0,0,0,中国,山东,潍坊,,1339,306,女,https://weibo.com/u/5529828480,https://m.weibo.cn/detail/PpNLQsjmA,PpNLQsjmA
5161318027363730,PpJa2uTDQ,Xy1307-,2025-05-01 02:26:13,林俊杰  为什么我总是在🫘刷到脱粉的视频帖子… ,0,4,0,中国,河南,郑州,,360,17,女,https://weibo.com/u/7322679613,https://m.weibo.cn/detail/PpJa2uTDQ,PpJa2uTDQ
5161304060069037,PpINw0hXv,Zz奶味小船船,2025-05-01 01:30:43,为啥这么多脱粉林俊杰，抖上刷到好多 ,0,1,0,中国,广东,江门,你也许会一直爱他,235,631,男,https://weibo.com/u/3117804867,https://m.weibo.cn/detail/PpINw0hXv,PpINw0hXv
5161294891322412,PpIyJ5y1e,琥珀色远方-,2025-05-01 00:54:17,林俊杰 每次看到xhs那些人就好烦 明明已经拉黑了很多 但每隔一段时间还是会有那种帖子 我已经不想战斗了 看到他们黑小瓜心里好难受 看完xhs打开抖音刷了几个也出现了脱粉视频 下面评论又是很多 看到他们黑他不真诚甚至有很多路人提起21年那个 只是无力 ,0,2,2,中国,河北,衡水,,5,1,女,https://weibo.com/u/7868042255,https://m.weibo.cn/detail/PpIyJ5y1e,PpIyJ5y1e
5161265170744175,PpHMN37AP,家有猫鼠饲养,2025-04-30 22:56:11,刷抖发现林俊杰好多人脱粉，我只想说他的臭德行和周杰伦一样 ,1,2,3,中国,北京,北京,和产儿一切安好镇魂xx,153,91,女,https://weibo.com/u/7267035412,https://m.weibo.cn/detail/PpHMN37AP,PpHMN37AP
