微博id,uni_id,url,主页,发布时间,国家,城市,微博bid,微博作者,微博内容,性别,情感倾向,点赞数,爬取时间,用户关注数,用户简介,省份,粉丝数,评论数,转发数
7364911712.0,,https://m.weibo.cn/detail/OzwwQmoG1,https://m.weibo.cn/u/7684914133?,2024-10-01 13:55:26,中国,汕头,OzwwQmoG1,livew1thecat,今天什么都不做，赖在床上听 李诞➕王建国的快乐是1加1大于2的…^_^ 最喜欢的两期 ,f,0.5264787761499391,1.0,2024-10-01 22:09:07,49.0,及时行乐,广东,38,0.0,0.0
7437123378.0,,https://m.weibo.cn/detail/Ozzu6cBTe,https://m.weibo.cn/u/7935363087?,2024-10-01 21:26:54,中国,上海,Ozzu6cBTe,叫什么随便啦啊,李诞 小卖部在哪里投稿？ ,f,0.4589146611567873,0.0,2024-10-01 22:09:07,10.0,,上海,1,0.0,0.0
7469075348.0,,https://m.weibo.cn/detail/OzyLClMnO,https://m.weibo.cn/u/7779610091?,2024-10-01 19:37:18,中国,南宁,OzyLClMnO,不借天命逆苍生,还有个池子，也是笑果出来的，李诞家里挂东亚病夫牌匾，简直是蟑螂窝//@瑛兰傲雪:从卡姆到李昊石，再到今天的阿潘。脱口秀演员拿无知当个性，拿逆反到潮流，已经是到了病入膏肓的程度，甚至一些言论，几乎与反贼毫无差别，行业自身不净化，就别怪铁拳帮你们净化，都是自找的。,m,0.9996234556631668,1.0,2024-10-01 22:09:07,361.0,,广西,33,0.0,15.0
7543069995.0,,https://m.weibo.cn/detail/OzwNkznj5,https://m.weibo.cn/u/5490995461?,2024-10-01 14:36:03,中国,徐州,OzwNkznj5,想去喜欢的面包店打工,人没有朋友会s掉吧 很爱昨晚认识的新朋友们 大学创业的亚比姐 贼亚贼猛 立誓要找个男人买birkin的0哥 so sweet 真的很开心感受大家不一样的生活方式 希望下次偶遇下李诞 去五花马也打卡下 ,f,0.6895463095037987,0.0,2024-10-01 22:09:07,84.0,,江苏,68,0.0,0.0
7594205274.0,OyMsEwQhX,https://m.weibo.cn/detail/OyMsEwQhX,https://m.weibo.cn/u/6063043159?,2024-09-26 16:38:44,中国,北京,,_彪形麗人孫大聖_,生存环境太过恶劣，即使变坏也在所难免！#李诞#人生#人生感悟#李诞语录#人生哲理# #人生# 长腮的游泳者的微博视频 ,m,0.1092743074494214,0.0,2024-10-01 22:09:07,102.0,微博游泳视频账号,北京,26.3万,0.0,0.0
7684914133.0,,https://m.weibo.cn/detail/OzwangB3d,https://m.weibo.cn/u/5991719507?,2024-10-01 13:00:04,中国,长春,OzwangB3d,下雨天了怎么办_1,年轻时的选择或许总带点错觉，但那正是可以大胆尝试与犯错的年纪 #人生# #人生感悟# #李诞# #李诞语录# #李诞小卖部# #人生# 娱乐奇幻岛主的微博视频 ,m,0.3173198174449246,0.0,2024-10-01 22:09:07,479.0,人生不需要装，但生活需要妆。,吉林,43.5万,0.0,0.0
7745194228.0,,https://m.weibo.cn/detail/Ozvgmjilb,https://m.weibo.cn/u/6183820851?,2024-10-01 10:42:04,中国,北京,Ozvgmjilb,2024快乐健康,感情的终点总是分离，只是早晚的问题#李诞# #李诞的小卖部# #李诞语录# #李诞直播# #李诞小卖部# #李诞# 八卦工厂的微博视频 ,f,4.275587519364521e-06,0.0,2024-10-01 22:09:07,95.0,娱乐明星综合,北京,26.6万,0.0,0.0
7779610091.0,,https://m.weibo.cn/detail/Ozw4Eouh7,https://m.weibo.cn/u/1747929363?,2024-10-01 12:45:57,中国,汕头,Ozw4Eouh7,夸克麟,李诞  小北 算了有算了的道理 橘子不是唯一的水果 ,f,0.5409573908941492,0.0,2024-10-01 22:09:07,201.0,雪地里写诗,广东,46,0.0,0.0
7823342969.0,,https://m.weibo.cn/detail/OzzuS73F6,https://m.weibo.cn/u/6748550568?,2024-10-01 21:28:48,中国,沧州,OzzuS73F6,用户28886,李诞小卖部也太众生相了，太可乐了。今天学到一句:沉没成本不参与决策。妈呀，大智慧 ,f,0.9584152997695148,0.0,2024-10-01 22:09:07,263.0,论迹不论心。没苦不硬吃。及时止损。尊重自己的感受。,河北,85,0.0,0.0
7863607306.0,,https://m.weibo.cn/detail/OzyMzdmfT,https://m.weibo.cn/u/2268697241?,2024-10-01 19:39:39,中国,柳州,OzyMzdmfT,阿绒毛茸茸,刷到好多单口喜剧和脱友决赛的repo 这么快又录完啦 都说现场特别好看 呼兰也是哈哈哈哈因为股票涨了 把之前的稿子换了重写的 李诞说这几年就没见过他那么兴奋有底气的样子哈哈哈 ,f,0.9944776587589972,1.0,2024-10-01 22:09:07,1003.0,要是能足够幸运就好了,广西,1475,2.0,0.0
