微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
1396506364.0,,有理想的蓝大,2024-09-30 10:59:31,得不到的女人—王冰冰，集才华美貌于一身 ,3.0,15.0,155.0,中国,江西,宜春,职业股民 草根股民 小韭菜一枚,643.0,152.5万,m,https://m.weibo.cn/u/1396506364?,https://m.weibo.cn/detail/OzlWWrFNL,OzlWWrFNL
1731123310.0,,本间芽衣籽,2024-09-21 14:00:19,王冰冰瞎蒙问题自信回答，给撒贝宁都唬住了～ 本间芽衣籽的微博视频 ,58.0,34.0,1517.0,中国,天津,天津,爱女宝 只会对花花讲好听的话 如有侵权 联系删除 盗我水印投诉到底,215.0,17.2万,f,https://m.weibo.cn/u/1731123310?,https://m.weibo.cn/detail/Oy0hRwmmw,Oy0hRwmmw
7891724237.0,,虎爸周星,2024-09-17 17:08:00,于适和王冰冰的性质不一样吧？ ,0.0,27.0,395.0,中国,广东,广州,管天管地别来管观众！本博主只是一个喜欢上网冲浪🏄的自由人，不接广告，喜欢多玩，不喜欢的别来；,283.0,19.3万,f,https://m.weibo.cn/u/7891724237?,https://m.weibo.cn/detail/OxpO3q2Mw,OxpO3q2Mw
7374839911.0,,闻过白敬亭很香,2024-09-30 00:21:55,#王冰冰 社交破冰技巧# 课代表来了 1.寻找共同话题 2.保持好奇心 3.学会赞美别人细节 真诚聊天 好好好 我学 ,4.0,1.0,54.0,中国,台湾,,未到终局 焉知生死 💪,881.0,2.7万,f,https://m.weibo.cn/u/7374839911?,https://m.weibo.cn/detail/OzhM8D19W,OzhM8D19W
5992885249.0,,追剧音乐时尚,2024-08-31 07:00:00,已过花甲之年的歌唱家莫华伦已经 65 岁了，依然青春活力，找了一个年轻貌美的 35 岁王冰冰共度余生，粉色确实很显身材了 ,3.0,36.0,96.0,中国,广东,揭阳,医美/母婴/,288.0,38.4万,f,https://m.weibo.cn/u/5992885249?,https://m.weibo.cn/detail/OuLyPu4dx,OuLyPu4dx
5755011426.0,,影剧大叔,2024-08-29 13:15:15,王冰冰的颜值，真的很抗揍，本人和电视上一样好看，路人随拍都美美的  不得不说，央视记者王冰冰真的很好看，特别是她的笑容，真的太甜了，央视记者以这样的状态火出圈的，王冰冰是独有的一份。 ,3.0,48.0,133.0,中国,湖北,黄冈,知名电影博主，商务jinengsusu,150.0,26.9万,m,https://m.weibo.cn/u/5755011426?,https://m.weibo.cn/detail/Ouva9oRzA,Ouva9oRzA
5983377991.0,OzhzOp3kO,wuli碗里有___,2024-09-29 23:51:32,#王冰冰 社交破冰技巧#你们都来学，然后跟我搭话，好吗 ,0.0,2.0,2.0,中国,广西,南宁,我本无情小人机。,330.0,668,f,https://m.weibo.cn/u/5983377991?,https://m.weibo.cn/detail/OzhzOp3kO,
