平台,用户名,内容,分享数,评论数,点赞数,url,uni_id,发布时间
微博,Sherl贝尼,#新年送你一套小红花##王冰冰# 即开怼+临时起意，对王冰冰客气+预先安排好的 没有对比就没有伤害，这下还会有人说小尼和王冰冰是好朋友吗？ PS: 王冰冰会好好说话吗？自己多大岁数心里没点儿数吗？不恶心吗？ ,0,0,0,https://m.weibo.cn/detail/P8cIDzJNj,,2025-01-05 20:35:38
微博,满屏都是大长腿,#闪闪发光的少年# #王冰冰# 再次挑战蹦床起立，她的动作和上次如出一辙～～ 满屏都是大长腿的微博视频 ,0,1,0,https://m.weibo.cn/detail/P8cua4L0x,,2025-01-05 19:59:57
微博,明星叭叭叭,#说走就走# #新年送你一套小红花# 定格瞬间，美好启航。锁定央视频，与总台记者王冰冰一起开启新年之旅，让心愿照亮前行的道路。 #哈尔滨冰雪大世界# 桃花树下的许愿池充满希望。 明星叭叭叭的微博视频 ,0,1,0,https://m.weibo.cn/detail/P8cq61vHZ,,2025-01-05 19:49:57
微博,吻奶珊的喵酱,王冰冰#王冰冰#  世界由你去闯，花月由你去赏， 所有的思念和心动都交给你， 你归我。 ,1,7,67,https://m.weibo.cn/detail/P8bF5FzWb,,2025-01-05 17:54:10
微博,候鸟读书,央视推荐的40本书，认真看完脱胎换骨！看图5 免费领取电子书 ,2,1,1,https://m.weibo.cn/detail/P8bMlwC18,,2025-01-05 18:12:01
微博,吃花蜜的喵酱,王冰冰一张相对比较清晰的吉林春晚录制返图，来自小红📖用户 大耳朵仔 图②单人版 可做壁纸 ,12,56,195,https://m.weibo.cn/detail/P81AcefO0,,2025-01-04 16:14:37
微博,吃栟糖的喵酱,王冰冰 今人不见古时玥已经可以在腾讯视频预约了 ,0,3,13,https://m.weibo.cn/detail/P8blTwFDh,,2025-01-05 17:06:52
微博,梁山好烟,王冰冰 22年春节的冰冰～ 梁山好烟的微博视频 ,1,2,7,https://m.weibo.cn/detail/P8blvdsDa,,2025-01-05 17:05:54
微博,男女那么些事,小尼说发出来要加tag #央视# #尼格买提# #王耀庆# 王冰冰 此生要去的100个地方 男女那么些事的微博视频 ,0,1,1,https://m.weibo.cn/detail/P8b6cnSg1,,2025-01-05 16:28:12
微博,羽星幻,王冰冰 三个路拍        来源:🍠  from0 ,5,26,31,https://m.weibo.cn/detail/P88F9a0nh,,2025-01-05 10:16:03
微博,央视频,迎着零下25℃的极寒空气，1月5日13:00，央视频《说走就走·哈尔滨｜冰天雪地任逍遥》直播活动在哈尔滨“冰雪大世界”展开！总台主持人任鲁豫、总台记者王冰冰，歌手亚森、谭杰希、魏巡，短道速滑运动员任子威组成“嘉宾帮帮团”，共同带领观众在冰天雪地中欣赏绝美雪景、沉浸式感受幸福“温度”。   ...全文,14,61,46,https://m.weibo.cn/detail/P89JRDPrA,,2025-01-05 13:00:26
微博,夏拙拙拙,和王冰冰天天吃火鸡面 ,0,5,1,https://m.weibo.cn/detail/P8aJi72ze,,2025-01-05 15:31:45
微博,刚刚的萌宠,任鲁豫和王冰冰在哈尔滨冰雪大世界留下了美好回忆，2024年他们依旧努力前行。 刚刚的萌宠的微博视频 ,0,0,0,https://m.weibo.cn/detail/P8aIdac3t,,2025-01-05 15:29:06
微博,Jaysonicy,王冰冰 头越大，越容易冷 Jaysonicy的微博视频 ,0,4,19,https://m.weibo.cn/detail/P8ay69eH6,,2025-01-05 15:04:11
微博,海尔,#新年送你一套小红花# 知道宝子们已经等不及啦出发！尔滨，我们来啦戳👇1月5日13：00锁定《说走就走•哈尔滨｜冰天雪地任逍遥》直播间，我们哥俩带宝子们一起跟随央视总台主持人王冰冰@吃花椒的喵酱 和任鲁豫@任鲁豫 ，走进哈尔滨冰雪大世界，见证在冰雪世界里的温暖奇迹，解锁海尔 ...全文,107,44,178,https://m.weibo.cn/detail/P80Rx5qct,,2025-01-04 14:24:35
微博,吻奶珊的喵酱,王冰冰#王冰冰#  浅喜似苍狗，深爱如长风。 ,0,10,115,https://m.weibo.cn/detail/P7Ypgmxql,,2025-01-04 08:09:27
微博,周欣欣同学2024,王冰冰 一个被过度捧红的ip。 ,0,0,0,https://m.weibo.cn/detail/P89wtdqtH,,2025-01-05 12:27:25
微博,娱乐圈的记录员,#王冰冰# #青年大学习# 娱乐圈的记录员的微博视频 ,0,0,0,https://m.weibo.cn/detail/P88XRsb7Q,,2025-01-05 11:02:10
微博,打彩虹六号的喵酱,王冰冰 来自主持人多肉沫沫的返图 ,0,5,19,https://m.weibo.cn/detail/P88ms9hF1,,2025-01-05 09:30:00
微博,达人秀馆,#央young之夏# #王冰冰# 准备了什么节目？剧透来啦！#撒贝宁小尼# 跨服聊天揭秘 达人秀馆的微博视频 ,0,0,0,https://m.weibo.cn/detail/P87qlCtiS,,2025-01-05 07:06:51
微博,娱乐正追踪,#央young之夏# 彩排现场，#王冰冰# 和海阳用东北话对话，是不是有小品的感觉了！ 娱乐正追踪的微博视频 ,0,0,0,https://m.weibo.cn/detail/P87qanKDd,,2025-01-05 07:06:24
微博,王冰冰今天吃火锅了嘛,王冰冰  断签无数次之后终于又30天啦 ,1,5,5,https://m.weibo.cn/detail/P85xkhSOT,,2025-01-05 02:18:32
微博,吃花蜜的喵酱,王冰冰 近距离看冰冰·吉林春晚录制 来自小红📖用户Yuan. 吃花蜜的喵酱的微博视频 ,11,58,229,https://m.weibo.cn/detail/P7SPEbUJt,,2025-01-03 17:57:58
微博,有点孩怕的喵酱,王冰冰 1500天咯 ,1,6,5,https://m.weibo.cn/detail/P84EhaSI0,,2025-01-05 00:02:55
微博,是瓜瓜蛙,《今人不见古时玥》花絮：王冰冰与鲁照华的闺蜜欢乐时光。 是瓜瓜蛙的微博视频 ,0,1,2,https://m.weibo.cn/detail/P84w1x92t,,2025-01-04 23:42:35
微博,娱乐星闻不N机,吃货冰冰，#笑容最治愈的女孩# #清纯甜美#。我喜欢的女孩，王冰冰。 娱乐星闻不N机的微博视频 ,0,1,0,https://m.weibo.cn/detail/P84w1psGt,,2025-01-04 23:42:35
