微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id,情感倾向
5172724067995595,PuvSSxy1d,ZLXHIM,2025-06-01 13:49:45,#明日方舟博士##普瑞赛斯# Eclipse ,240,26,1075,中国,湖南,衡阳,男的不要关注我⚠未成年请勿关注⚠️️会发一些R向G向内容⚠️转发很多建议直奔相册或者只看原创微博❤️ 感谢网友送的svip❤️不出号不接推广,1601,7.9万,女,https://weibo.com/u/7375225084,https://m.weibo.cn/detail/PuvSSxy1d,PuvSSxy1d,0.9952374462988525
5172852462718279,PuzdYbp9d,昨夜圆车的界园志异,2025-06-01 22:19:57,0288【to Miss.Christine】Meow！ My cat of Arknights!Meow!Meow!Meow for me!!! ,6,14,92,中国,重庆,重庆,接收各种mrfz梗图/段子🥰🥰🥰 这里是bot不是厕所，所以请不要把私人恩怨等等带到这里🥺🥺🥺,52,8713,女,https://weibo.com/u/7987915910,https://m.weibo.cn/detail/PuzdYbp9d,PuzdYbp9d,0.37165162461671686
5172876027888762,PuzPYx6e6,墨祁33,2025-06-01 23:53:35,明日方舟  @kimi-不到90不改名 又一次建设双狼！速报之上次还是在川西旅拍 拍双狼那天被冰雹攻击没拍成这次是被杭钢的蚊子攻击 谁懂啊捅了蚊子窝了（尖叫 ,0,0,0,中国,浙江,湖州,❤️扭曲仙境❤️️ES❤️Luxiem❤️懒/佛/不撕逼不站队/随缘互fo,563,934,女,https://weibo.com/u/1730187395,https://m.weibo.cn/detail/PuzPYx6e6,PuzPYx6e6,0.9801441550766137
5172876026318144,PuzPYqvDy,半糖山原,2025-06-01 23:53:35,突然发现自己入坑明日方舟都六年了虽然中间A了有段时间，但是在坑时间加起来应该也有五年左右横跨了我的高三和大学生活，现在想想真是蛮感慨的，对我的意义也肯定是不一样的 ,0,0,0,中国,浙江,杭州,你开心就好,75,1025,女,https://weibo.com/u/7440184911,https://m.weibo.cn/detail/PuzPYqvDy,PuzPYqvDy,0.9996352167771313
5172875876109627,PuzPJpDon,-穿花衣的小燕砸-,2025-06-01 23:52:59,明日方舟#德克萨斯##德克萨斯0601生日快乐# 德克萨斯小姐的脱帽礼生日快乐小德小德画不完了就这样吧（遗憾离场） ,1,0,2,中国,重庆,重庆,碎碎念念扔垃圾画的小垃圾日常/感谢您观测到我/约稿→mhs同名,357,226,女,https://weibo.com/u/7435989070,https://m.weibo.cn/detail/PuzPJpDon,PuzPJpDon,0.9186159371382537
5172875323250431,PuzOQdDAj,你也融于绯月中吗,2025-06-01 23:50:47,我再也不玩明日方舟了。 ,0,0,0,中国,天津,天津,如果遗忘意味着终结 请让我在落幕前凋谢,838,502,女,https://weibo.com/u/7387267573,https://m.weibo.cn/detail/PuzOQdDAj,PuzOQdDAj,0.9498280512915553
5172875166224703,PuzOAq7kr,抑郁症吉良吉影与倒立杀手皇后,2025-06-01 23:50:10,本来我打算戒网了但是我老公飞雪和我麦麸心有灵犀牛望月圆画好言好语短情长夜难明日方舟@薛定谔的飞雪 ,0,0,0,中国,广东,,正如从前一样 这是昨日重现,549,1605,女,https://weibo.com/u/7835759138,https://m.weibo.cn/detail/PuzOAq7kr,PuzOAq7kr,0.9952898735363742
5172874919806516,PuzObF97C,用户7959095276,2025-06-01 23:49:11,明日方舟加油站 出   明日方舟推进之王/维娜·维多利亚相关：遗石pvc*1；遗石wwf明信片*1；音律网页活动拍立得*1；音律礼盒拍立得*2；手办特典立牌*1；熊小白挂件*1；邮政明信片1对；追迹日落以西特典set*1（包含明信片1张、特典书签1个）；追迹日落以西明信片套组*1；维娜·维多利亚 ...全文,0,0,0,中国,湖南,长沙,私博，吐槽相关我会打码🙂如果觉得是在吐槽你或者你正主，ok那就是的咯👐爱咋咋地,22,3,女,https://weibo.com/u/7959095276,https://m.weibo.cn/detail/PuzObF97C,PuzObF97C,0.9959813912287774
5172874342043319,PuzNg8zyL,楚格-_-,2025-06-01 23:46:53,明日方舟加油站 推推精干通行证，余pith，sharp，outcast ,0,0,0,中国,湖南,,,678,77,女,https://weibo.com/u/5993304779,https://m.weibo.cn/detail/PuzNg8zyL,PuzNg8zyL,0.5874902741802602
5172874245570690,PuzN6nnbQ,_好吃好吃_,2025-06-01 23:46:29,明日方舟#德克萨斯# 生日快乐呀(差点没赶上) ,1,0,1,中国,浙江,杭州,,6,1,女,https://weibo.com/u/7991370324,https://m.weibo.cn/detail/PuzN6nnbQ,PuzN6nnbQ,0.6975865529369584
