微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id,情感倾向
5172709904617225,Puvw2jn9n,sssvvvxx,2025-06-01 12:53:28,他一乒超 全锦 不都打了 还有年底全运会 国内就这三还有什么  哪来的打压无球可打大力说国乒三大赛参赛不受wtt排名 由ctta跟教练组自主决定 要这么说的话 国乒目前处于世排前的都可以不用参与wtt的大满贯赛事 就以培养年轻球员为主 也完全可以像他那样去外国打比赛。那也要问下为什么ctta跟教练组🇺 ...全文,0,33,166,中国,广东,韶关,哥迷🎵DC🥰  🐼🦈 ⚽🏀⚾🎾🏉🎱🔫,227,101,男,https://weibo.com/u/7897275657,https://m.weibo.cn/detail/Puvw2jn9n,Puvw2jn9n,0.9994854287792654
5172879389886739,PuzVoFtZx,精神病院派来的猴子,2025-06-02 00:06:57,倪夏莲：朋友们问以后樊振东来了会不会转播，当然会转播咯，有我们国家队，有我们中国人的我更愿意曲传波，更愿意分享。现在这个情况是这样，希望以后我们中国人也可以多多的参与，让这个比赛更精彩。朱小勇教练：现在拿奖杯的是经理，俱乐部经历，樊振东来到来龙去脉他都可以告诉你。  ...全文,1,4,59,中国,河南,郑州,野生杂食球迷 偏好明显,1114,47.7万,女,https://weibo.com/u/5229334406,https://m.weibo.cn/detail/PuzVoFtZx,PuzVoFtZx,0.9999951348910111
5172715570597325,PuvFb2voh,国球人生,2025-06-01 13:15:59,#中国乒协理解和尊重樊振东意愿# 大胆预测：樊振东将在2026年征战完德甲萨尔布吕肯的比赛后回归中国乒乓球国家队。这期间，樊振东将参加中国乒超联赛、全运会以及萨尔布吕肯的德甲和欧冠比赛，逐步找回最佳状态。为什么这么预测，首先是乒协说樊振东仍处于奥运后的调整期，计划通过全国比赛及国 ...全文,1,2,13,中国,山东,青岛,体育媒体人 乒乓球爱好者,1517,19.9万,男,https://weibo.com/u/5707886028,https://m.weibo.cn/detail/PuvFb2voh,PuvFb2voh,0.9999970698840759
5172881770417287,PuzZf1Kyr,歌语晩冬_,2025-06-02 00:16:24,#微博声浪计划##听见微博# 京时间4月26日晚，前乒乓球奥运冠军张继科在社交媒体直播中，面对网友是否回归国家队执教的频繁发问，毫不客气地回应，不要道听途说地听我说，好吧，朋友，我这是直播间，这不是在梦里，你说话稍微经过点大脑。这略带火药味的回应瞬间引发热议，张继科让球迷说话经过大脑的话 ...全文,0,0,0,中国,海南,海口,体育有趣事，一起来分享。,4807,31.3万,女,https://weibo.com/u/7871460342,https://m.weibo.cn/detail/PuzZf1Kyr,PuzZf1Kyr,0.9223349434846421
5172881093823198,PuzY9g2Au,乒乓球球2018,2025-06-02 00:13:43,发布了头条文章：《中央电视台录播2025年6月2日至8日乒乓球比赛》  中央电视台录播2025年6月2日至8日乒乓球比赛 ,0,0,0,中国,吉林,长春,乒乓球技术、乒乓球视频、乒乓球动态，给您最用心的原创作品！,109,15.7万,女,https://weibo.com/u/6522901152,https://m.weibo.cn/detail/PuzY9g2Au,PuzY9g2Au,0.00017649229189964366
5172873862847381,PuzMubWJv,文笙V,2025-06-01 23:44:59,世乒赛说是自愿放弃名额，真的不想打比赛的人会主动联系国外联赛吗，很矛盾的好吗。况且去国外参加商业联赛又有什么关系，wtt也一样是商业赛，他并没有退出国家队。 ,0,0,2,中国,贵州,贵阳,今天看点什么呢,255,55.5万,男,https://weibo.com/u/3272474385,https://m.weibo.cn/detail/PuzMubWJv,PuzMubWJv,0.9977345178239105
5172868557576647,PuzDVvN1Z,佩奇的鱼,2025-06-01 23:23:54,#樊振东加盟德甲联赛# 都总结得非常好。 ,0,0,0,中国,辽宁,大连,忍耐是一生的修行,152,148,女,https://weibo.com/u/6487943337,https://m.weibo.cn/detail/PuzDVvN1Z,PuzDVvN1Z,0.0431703110694317
5172868476567739,PuzDNryzh,果窖_1988,2025-06-01 23:23:34,这个完整点～强调一点【多方沟通 勿绑架】闫主播：我们队目前现在是我 徐瑛彬 袁励岑确定的，然后这个是其他的现在都还没确定呢，我们从作为我们来说，我们肯定想让龙哥回来呢，看看能不能把龙哥那个什么回来。程主播：龙哥确实。闫主播：龙哥一回来我感觉我们从实力到气质都不一样，徐瑛彬和袁励岑 ...全文,42,12,284,中国,湖北,武汉,体育视频博主,265,46万,女,https://weibo.com/u/2736627125,https://m.weibo.cn/detail/PuzDNryzh,PuzDNryzh,0.9997358507637008
5172612847632649,PusZuw1Bf,蒋佩茹医生,2025-06-01 06:27:48,#樊振东加盟德甲联赛##萨尔布吕肯官宣樊振东加盟#  樊振东作为一个国际顶级乒乓球运动员，在世界排名被清零背景下近一年鲜少参与国际赛事。德甲联赛汇集波尔、奥恰洛夫、邱党等知名选手，萨尔布吕肯的劲敌包括杜塞尔多夫（波尔、邱党）、奥克森豪森（雨果、户上隼辅）等俱乐部。加盟德甲被视作保持竞技 ...全文,2,13,555,中国,上海,上海,主任医师，硕导， 微博2019健康医疗最受欢迎医生 知名健康博主 微博签约自媒体,1008,153.8万,女,https://weibo.com/u/1143605707,https://m.weibo.cn/detail/PusZuw1Bf,PusZuw1Bf,0.953138207412145
5172803383069573,PuxWOcSxf,捉妖鸡,2025-06-01 19:04:55,#孙颖莎杂志# 莎莎是国家运动员，在战绩如此强悍的情况下收获了这么多人的喜爱，跨领域登封内娱五大杂志销量打破当时的内地销售记录，已经很厉害了。而且购买杂志人数达70W+，单本40元。任何人都不具有可比性。让我们把目光聚焦在莎莎的乒乓球职业赛道上 ,0,2,54,中国,河北,张家口,全球反诈大使,523,11.3万,男,https://weibo.com/u/5341998428,https://m.weibo.cn/detail/PuxWOcSxf,PuxWOcSxf,0.9994925190683146
5172694636040804,Puv7ppluk,游历丁丁,2025-06-01 11:52:48,正确看樊振东加入外联#樊振东10天前主动联系德甲俱乐部#与张继科、张纸盒有着本质的区别哈！东哥没有退出国家队，没有退役，依然可以代表国家参赛。德甲联赛不影响国内，国际比赛，不影响乒超！是加入俱乐部，代表俱乐部打欧洲联赛！不是代表欧洲国家去打比赛！德国乒乓球甲级联赛是竞技水平较 ...全文,11,124,149,中国,四川,甘孜藏族自治州,时事陪伴着旅游，期待伙伴儿们一同前行……作品如侵权请联系立删！,9256,52.1万,女,https://weibo.com/u/3911901482,https://m.weibo.cn/detail/Puv7ppluk,Puv7ppluk,0.9744244163104612
5172864019598220,PuzwBEgW0,小猴不练弹跳,2025-06-01 23:05:52,德媒：樊振东加盟“德甲联赛”，是樊振东做出的明智的选择，因为……1、樊振东留洋，不是抛弃中国国家队，而是参加俱乐部，跟姚明参加NBA，杨晨参加德甲，一个意思，对中国乒乓球来说只是是好事，不是坏事！2、樊振东已经大满贯，给更年轻的国乒小将让路，去德国传播技艺，能带动乒乓球这项运动的 ...全文,0,0,2,中国,福建,莆田,小猴不用练弹跳，直接就是跳跳跳！,546,3.5万,女,https://weibo.com/u/6023397804,https://m.weibo.cn/detail/PuzwBEgW0,PuzwBEgW0,0.9999589071300188
5172859846531618,PuzpSrpaG,狗窝里的小梦梦,2025-06-01 22:49:17,最近发现，即便是关心乒乓球，关注樊振东的业余球迷群体，也未必能看懂每一个新闻背后的博弈。这个很正常，谁也不会在繁茂的工作生活之余刷那么多报道来提取真实信息。看报道是需要花费大量精力的，且很多报道是被污染了的。就连我爸看那么多年乒乓球，他也没看懂这次樊振东要去打德甲联赛意味着什么， ...全文,0,6,4,中国,北京,北京,前滚翻回家,93,837,女,https://weibo.com/u/1771095804,https://m.weibo.cn/detail/PuzpSrpaG,PuzpSrpaG,0.9999996570609021
5172857923441105,PuzmMerbH,冷静分析派,2025-06-01 22:41:39,樊振东跑去德甲打球这事儿，真的把我看热血了！这说明啥？说明咱小胖早就是世界体育圈的顶流，不再只是咱们中国人的骄傲！巴黎奥运会男单那两场硬仗，连着把亚季军都打了个遍，直接把对手打到心服口服，这统治力谁能不服？ 你细品啊，他身上承载的哪只是乒乓球？那是实打实的体育精神！从受邀去皇马 ...全文,0,0,109,中国,广东,揭阳,,48,7.6万,女,https://weibo.com/u/6811140180,https://m.weibo.cn/detail/PuzmMerbH,PuzmMerbH,0.9999912994142534
5172856566582175,PuzkArCk7,王旭明,2025-06-01 22:36:15,#明说真教育#据报道，乒乓球运动员樊振东宣布加盟德甲萨尔布吕肯俱乐部，征战2025-2026赛季德国乒乓球甲级联赛和欧洲冠军联赛。中国乒协表示理解和尊重运动员本人意愿，并将全力支持和保障他保持良好竞技水平，为乒乓球事业再创辉煌。     为樊振东点赞，也为中国乒协点赞。改革开放是我国的基本国策 ...全文,0,0,4,中国,河北,张家口,中国陶行知研究会副会长,1710,219万,男,https://weibo.com/u/1396715380,https://m.weibo.cn/detail/PuzkArCk7,PuzkArCk7,0.9999999960825405
5172850564792732,PuzaUk6O8,蝉噪鸟鸣112,2025-06-01 22:12:23,今天新闻樊振东加盟了德甲联赛，刷微博和小红书时不时看到有人在那儿骂他，说他不爱国了，要去挣钱等等诸如此类的。我感觉这些人是不是根本就不看比赛，小的时候孔令辉他们不也在外边打过球吗？我专门查了一下现在国家队的林高远和梁靖崑之前也去打过，这说明现在也有啊，这能有个什么问题？什么逻辑得 ...全文,0,0,3,中国,广西,南宁,,340,140,女,https://weibo.com/u/5599058725,https://m.weibo.cn/detail/PuzaUk6O8,PuzaUk6O8,0.01008901704830123
5172848776974710,Puz81tgrk,poIIionacchi,2025-06-01 22:05:18,我建议你们乒丝在用AI造谣的时候把你们提的问题也一起截出来😅别整半天丫的问题就是“请编造国家乒乓球队(除某某某以外)的国外联赛比赛经历”就好笑了 ,0,6,19,中国,上海,上海,真理只在大炮的射程之内。,193,5.1万,男,https://weibo.com/u/5268409817,https://m.weibo.cn/detail/Puz81tgrk,Puz81tgrk,0.09835277273886811
5172679616760130,PuuJbsmCm,梅华龙_MHL,2025-06-01 10:53:07,#樊振东莫雷加德成为队友#感觉我爷爷奶奶那辈中国人，人均乒乓球迷。踢球的一个都不认识，但打乒乓球的，不识字的老头老太太都能聊几句。那时候还有一个特点，大家可能有特是喜欢的队员，但没有饭圈文化。喜欢哪个队员，都是看他为集体为国家的贡献，每个人辩论起来都不虚——丁松当初作为奇兵有贡 ...全文,4,7,94,中国,天津,天津,哈佛大学古代近东（中东）研究、圣经研究博士生；北京大学希伯来语专业毕业； https://www.wukong.com/user/?uid=75204946905,351,110.4万,男,https://weibo.com/u/5649026176,https://m.weibo.cn/detail/PuuJbsmCm,PuuJbsmCm,0.9997936706231475
5172710662734331,Puvxgbtk7,写南嫱,2025-06-01 12:56:28,樊振东是中国国家乒乓球队一员，是国家栽培和培养的运动员，他的信念里，永远是集体至上团队至上。他到欧洲打球，当然首先就是得到了上级组织和乒协的理解与支持。没有体总和乒协的认可和配合，运动员个人的发挥空间是有限的。现在全世界最顶级的球王樊振东，加盟德甲留洋一年，本身就是一件促进世界 ...全文,41,45,926,中国,湖南,长沙,Life is a wilderness，Fan of FAN,1020,34.6万,女,https://weibo.com/u/6274189607,https://m.weibo.cn/detail/Puvxgbtk7,Puvxgbtk7,0.9999987887528997
5172848776974710,Puz81tgrk,poIIionacchi,2025-06-01 22:05:18,我建议你们乒丝在用AI造谣的时候把你们提的问题也一起截出来😅别整半天丫的问题就是“请编造国家乒乓球队(除某某某以外)的国外联赛比赛经历”就好笑了 ,0,6,19,中国,上海,上海,真理只在大炮的射程之内。,193,5.1万,男,https://weibo.com/u/5268409817,https://m.weibo.cn/detail/Puz81tgrk,Puz81tgrk,0.09835277273886811
5172690727208604,Puv16ufhO,Ahri_Yo,2025-06-01 11:37:16,有网友科普这次樊振东去德甲意味着什么：樊振东去德甲俱乐部打相当于“国外乒超”，感觉有点就跟当年姚明去美国打球一样，包括韩国的孙兴慜在英超踢球，女排的朱婷也在欧洲打球吧，还在国家队，国际比赛奥运会那种都是会回归国家队，樊振东应该是为了找国际比赛手感，更好的回归，国家队林高远，梁靖崑 ...全文,10,58,950,中国,重庆,重庆,推广私｜源网侵删,1803,35.4万,女,https://weibo.com/u/7814284786,https://m.weibo.cn/detail/Puv16ufhO,Puv16ufhO,0.9999982850951484
5172743269517094,PuwnQDVPw,金刀王,2025-06-01 15:06:03,#中国乒协理解和尊重樊振东意愿#正值当打之年的樊振东，本该有更好的未来，为何不再参加比赛了？终于有中国球员留洋欧洲五大联赛了，希望国家队在樊振东的带领下，进入美加墨世界杯。 金刀王的微博视频 ,0,1,15,中国,甘肃,兰州,金刀王本尊,827,176.5万,男,https://weibo.com/u/1203091483,https://m.weibo.cn/detail/PuwnQDVPw,PuwnQDVPw,0.9997793402177646
5172838446139435,PuyRmpL99,家乡花又开了,2025-06-01 21:24:15,孙颖莎 &quot;王楚钦 &quot;国乒 &quot;节日快乐 家乡花又开了的微博视频 ,0,0,3,中国,河北,邯郸,,369,3812,女,https://weibo.com/u/7960834935,https://m.weibo.cn/detail/PuyRmpL99,PuyRmpL99,0.9965308767379225
5172834063090595,PuyKicY0j,深圳慧盈姐,2025-06-01 21:06:49,这张路人随手抓拍的照片实在太戳心了！画面里，孙颖莎笑眼弯弯，笑容像阳光一样明媚，王楚钦戴着墨镜气场全开，酷劲十足。加上旁边的翔哥和coco，几个人并肩行走的画面，每帧都透着温馨。莎宝正和队友聊得热络，眉飞色舞的样子满是青春活力，大头则在一旁带着墨镜，拽拽的姿态里藏着反差萌。不得不说 ...全文,0,0,12,中国,广东,韶关,股市深耕者，解读热点，分享策略，陪你理性投资，稳抓机遇 。,206,21.3万,女,https://weibo.com/u/6482937470,https://m.weibo.cn/detail/PuyKicY0j,PuyKicY0j,0.999999336646566
5172833038634560,PuyIDAef6,Limunada,2025-06-01 21:02:46,伟大的瑞典 ,1,1,6,瑞典,瑞典,,Uz tebe uvijek i zauvijek | Trust this process,978,1037,女,https://weibo.com/u/5393205198,https://m.weibo.cn/detail/PuyIDAef6,PuyIDAef6,0.8333333333333333
5172831525800491,PuyGcokYj,A股张钰婷,2025-06-01 20:56:45,#王楚钦赵心童成就顶峰相见佳话#央视频：王楚钦 赵心童成就顶峰相见佳话6月1日央妈恭喜王楚钦 赵心童两位创造历史！两位好朋友实现真正的顶峰相见！权威媒体这几天真的在力挺王楚钦，几乎在同一时间，新华社和人民日报都发了王楚钦！相信公正的媒体，相信自己的眼光，赵心童金嘴开光，希望 ...全文,0,0,8,中国,广东,广州,股票交易中，技术分柝必不可少，也是基本功，我们普通投资人没有一手消息，唯有通过盘面技术的分柝判断，然后才能做出重要的决择。,728,1.2万,女,https://weibo.com/u/2302172572,https://m.weibo.cn/detail/PuyGcokYj,PuyGcokYj,0.9999999912344008
5172831324996052,PuyFSkXHu,青笙挽歌ZH,2025-06-01 20:55:57,#樊振东莫雷加德成为队友#第十三届大学生运动会冠军王麒凯谈东哥参加下个赛季的德甲联赛。很少看到有这么直白谈某些问题的…没有条件就创造条件，东哥从未退出国家队，更没有退役！此次他加入德国乒乓球甲级联赛某俱乐部，是代表俱乐部征战欧洲联赛，并非代表欧洲国家参赛，完全不影响国内、国际赛事 ...全文,2,1,77,中国,广东,肇庆,有事找我请置顶帖留言。,6009,11万,女,https://weibo.com/u/5743878089,https://m.weibo.cn/detail/PuyFSkXHu,PuyFSkXHu,0.999625876757088
5172829299413891,PuyCBDuYX,星云由一,2025-06-01 20:47:54,国乒两大主力最新动态曝光！孙颖莎、王楚钦受直接影响，许昕重要消息披露国乒的两大主力球员近期有重要动态曝光，许昕透露了关键消息，直接对孙颖莎和王楚钦的局势产生影响。目前中国国乒队伍存在着一些不完整之处，无论是在世界杯还是世乒赛中，都有一些球员未归队参赛。其中值得一提的是陈梦和樊振 ...全文,18,15,16,中国,四川,绵阳,每日精准分析推荐私房菜,1698,10.1万,女,https://weibo.com/u/6292849804,https://m.weibo.cn/detail/PuyCBDuYX,PuyCBDuYX,0.9999963323274805
5172821512950521,Puyq3cnz3,SYHan0122,2025-06-01 20:16:58,当你为梦想全力以赴时，整个宇宙都会悄悄为你让路。因为格局决定结局，眼界决定世界，所有的伟大源于一个勇敢的开始，樊振东继续勇敢地做你坚持的事，继续书写属于你的乒乓传奇🏓我们永远支持你🫶🏻 这个把“国家”写在胸前的少年，正在书写这个时代最珍贵的传奇，樊振东激励了我们很多很多人。 ...全文,3,3,56,中国,浙江,宁波,,1417,8548,女,https://weibo.com/u/2946145380,https://m.weibo.cn/detail/Puyq3cnz3,Puyq3cnz3,1.0
5172812845418440,Puyc4mJAc,黄埔大到,2025-06-01 19:42:31,#中国乒协理解和尊重樊振东意愿#对于国家队运动员加入国外的俱乐部，要不要获得中国乒协的首肯，deepseek给出了标准答案 ,0,0,0,中国,福建,福州,,41,8,女,https://weibo.com/u/7309604174,https://m.weibo.cn/detail/Puyc4mJAc,Puyc4mJAc,0.2512242778482545
5172336567259859,PulNSusCv,芋头耶丸子--,2025-05-31 12:09:58,诶呦喂诶呦喂！好娇羞啊！感觉在婚礼起哄现场！（忽略某些人的脸） ,1,5,82,中国,江西,,☆⁺ʚ 不参杂质的喜愛 ɞ ⁺☆,489,2581,女,https://weibo.com/u/5559019729,https://m.weibo.cn/detail/PulNSusCv,PulNSusCv,0.0022551495495738427
5172810059876351,Puy7zFrhZ,野生胖球数据,2025-06-01 19:31:27,杜凯琹洛奥周期与国乒交手记录 =====更新，混团的交手官网开始计入头对头了，之前是不计入的 ,0,8,5,中国,贵州,六盘水,野生=非官方，胖球爱好者，数据来源是各大官网。为爱发电，欢迎捉虫。本人女，极其憎恨现任女主，不爱看拉黑，请不要在我这阴阳侮辱运动员，会拉黑,94,14万,女,https://weibo.com/u/5622866114,https://m.weibo.cn/detail/Puy7zFrhZ,Puy7zFrhZ,0.03285189954043388
5172809752123216,Puy758Ulq,怡梦爱上板,2025-06-01 19:30:14,一觉醒来，天都塌了樊振东正式宣布加盟德国队，这一消息出来后，许多人都反应非常激烈。樊振东从小就在国家队训练，并且参加过多次世界大赛，就技术和水平而言，他绝对是国内顶尖的乒乓球运动员。但是他还是选择留洋，樊振东为何会做出这样的选择呢樊振东目前的年龄正是学习和成长的关键时期， ...全文,0,0,0,中国,重庆,重庆,,21,6.2万,女,https://weibo.com/u/3832998264,https://m.weibo.cn/detail/Puy758Ulq,Puy758Ulq,0.9999975484348836
5172809585394791,Puy6OmDqL,妃妀,2025-06-01 19:29:34,#孙颖莎杂志#内娱打架不要拉上莎莎噢！我们莎莎是一名国家的乒乓球运动员！虽然杂志销量很不错！但还是要关注我们的成绩噢！她是中国乒乓球队历史上首位达成双圈世锦赛金满贯的女运动员！同时也是本年度世界杯女单卫冕冠军🎉获得职业生涯第十七个世冠🏆 ,0,0,2,中国,广东,肇庆,我又惹到你啦？ 不服憋着！  我的言论仅代表我自己！！！,330,421,女,https://weibo.com/u/7346109165,https://m.weibo.cn/detail/Puy6OmDqL,Puy6OmDqL,0.9999940925755735
