用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url
梦中有月光宝盒,1685,2024-10-23 21:48:22,#天下苍生谁人救#惩恶扬善一身正气 #了不起的中国传承 #拯救天下苍生为己任 嵩山少林,12分:57秒,2624,255,3155,0,50,7428967472541322506,,https://www.douyin.com/discover?modal_id=7428967472541322506
星闻,1140337,2024-10-23 20:16:00,#搞笑 #爆笑名场面 #上学 老师：我嘞个四年级的小孩哥啊，原来感冒的是我啊！,1分:35秒,1834,83,168,0,5967,7428912571337428239,,https://www.douyin.com/discover?modal_id=7428912571337428239
星闻,1140337,2024-10-23 20:16:00,#搞笑 #爆笑名场面 #上学 老师：我嘞个四年级的小孩哥啊，原来感冒的是我啊！,1分:35秒,1834,83,168,0,5967,7428912571337428239,,https://www.douyin.com/discover?modal_id=7428912571337428239
是你婷姐呀！,6392,2024-10-23 17:38:06,小孩哥不舒服和哦呐呐带他看医生、顺便带他们俩剪头发#后妈 #继子 #记录真实生活 #日常vlog,21分:50秒,320,14,82,0,19,7428902965664107811,,https://www.douyin.com/discover?modal_id=7428902965664107811
剪辑刘一手,521381,2024-10-23 20:30:00,于敏和于妈走错产房，把别人家孩子当自己孩子了 #功勋 #鹅滴神片 #经典剧好看 @腾讯视频 @腾讯视频电视剧,1分:59秒,344,23,1,0,6,7428913612586011938,腾讯视频旗下官方账号,https://www.douyin.com/discover?modal_id=7428913612586011938
毒舌娱乐,5283436,2024-10-21 18:30:00,小孩哥真就完全是凭实力站在C位上的，太可爱啦！ #可爱到爆炸💥 #小孩哥 #逻辑鬼才,1分:17秒,3763,187,134,12,2895,7428138247324175651,,https://www.douyin.com/discover?modal_id=7428138247324175651
泗阳融媒,990816,2024-10-06 16:42:41,小孩哥随妈妈一起进站接舅舅，一把拽住舅舅 抱起尖叫，“绝对是全网第一个外甥先认出舅的~”#舅舅与外甥 #惊不惊喜意不意外,0分:10秒,522,44,52,0,241,7422580310551825698,泗阳县融媒体中心官方账号,https://www.douyin.com/discover?modal_id=7422580310551825698
糕冷南北の,260,2024-10-22 02:27:22,当生活里闯入了一个小孩哥，后续又将怎么样呢？#听潮阁鲸 #听潮阁瞬 #听潮阁梓洺,1分:55秒,405,48,17,0,28,7428297218571996466,,https://www.douyin.com/discover?modal_id=7428297218571996466
志胜,141,2024-10-12 20:00:08,此时，一位小孩哥轻轻地碎掉了。#泉州婚礼跟拍 #婚礼现场  #拍摄花絮 #婚礼搞笑瞬间 #人类迷惑行为大赏,0分:14秒,40140,1035,9158,169,111067,7424857700539845900,,https://www.douyin.com/discover?modal_id=7424857700539845900
身边的一束光,1618,2024-10-23 23:10:52,腾勃64强晋级情况！ 张泰艺强势晋级，孔德京掉入敗部！#张泰艺 #赵汝亮 #孔德京 #台球 #是时候展现真正的技术了,0分:34秒,255,16,15,0,12,7428988723536121129,,https://www.douyin.com/discover?modal_id=7428988723536121129
拾月@,1124,2024-10-16 12:42:28,视频来自@海涛老师的儿子（大哥) 2023年4月19日视频作品#小大哥#小小军娃#爱国#男孩#小孩哥,1分:2秒,2871,197,162,6,96,7426229227789372723,,https://www.douyin.com/discover?modal_id=7426229227789372723
拾月@,1124,2024-10-12 07:41:20,#小孩哥 #小小军娃 #小大哥#童年#海涛老师的儿子 视频来自@海涛老师的儿子（大哥) 2023年4月16日视频,0分:55秒,8576,443,352,0,124,7424667258695191859,,https://www.douyin.com/discover?modal_id=7424667258695191859
陆饱饱饱饱不饱,59,2024-10-23 09:54:38,固排小孩哥说他以前也很喜欢玩玩具商，尤其是湖景村的大船，简直就是无敌点。每次他撞鬼，都是一个人孤独得在大船溜，没有人给他鼓掌。这回屠夫抓我，我去找他，真是vip观景位啊，全程发出惊……版本过低，升级后可展示全部信息,3分:3秒,169,3,15,0,43,7428783501161418003,,https://www.douyin.com/discover?modal_id=7428783501161418003
新华社,68908172,2024-08-17 10:11:38,“小孩哥”在饭店和每桌顾客聊天，网友：破碎的爸爸和“社牛”的他@秀我中国,0分:24秒,456827,13627,14037,1459,516619,7403925258681584907,新华通讯社官方账号,https://www.douyin.com/discover?modal_id=7403925258681584907
柴柴营销号,2382,2024-06-17 21:25:45,小孩哥：已老实，求放过 #小孩哥 #外国人 #中国文化 #搞笑 #外国小孩学习中文,0分:37秒,15795,674,1040,0,18324,7381462657242582272,,https://www.douyin.com/discover?modal_id=7381462657242582272
断齿,84544,2024-10-22 12:39:58,天才女大上不了王者，另辟蹊径在10v10上荣耀 #王者荣耀 #女大学生 #10v10王者 #内容启发搜索 #王者荣耀创作者激励计划,1分:10秒,494,69,145,0,343,7428455037539601699,,https://www.douyin.com/discover?modal_id=7428455037539601699
小张很好,202,2024-04-14 11:56:16,小孩哥全身都在用力#小孩哥 #杨公提,0分:12秒,245883,7317,7825,252,68923,7357566586741378323,,https://www.douyin.com/discover?modal_id=7357566586741378323
抓马大赏,13310,2024-07-08 12:00:01,小孩儿哥：这房子我一秒过户 #万万没想到 #小孩哥 #网友神评论 #搞笑,0分:23秒,23183,1006,1605,0,18011,7389074769007693093,,https://www.douyin.com/discover?modal_id=7389074769007693093
兔7,365,2024-05-06 17:47:19,小孩哥的威慑力！！#精神状态良好 #小孩哥,0分:9秒,5915,200,844,15,12065,7365820931639495977,,https://www.douyin.com/discover?modal_id=7365820931639495977
小袋瓜子ᵍʸᶠ,396,2024-08-24 11:39:46,小孩哥你无敌了#小孩哥 #体育生 #maxfly钉鞋,0分:8秒,45268,1147,4983,108,32363,7406545580601675060,,https://www.douyin.com/discover?modal_id=7406545580601675060
森森爱走思,126878,2024-10-23 19:31:25,不懂事的孩子,3分:44秒,6948,406,806,0,10326,7428932239792033050,,https://www.douyin.com/discover?modal_id=7428932239792033050
小孩哥麻麻（被杰伦发ins版）,21296,2024-09-22 19:27:16,搁浅的第二天，看的东西很符合小孩哥的年纪😂#周杰伦 #周杰伦演唱会小男孩 #搁浅,0分:23秒,3678,183,148,7,167,7417427500772412724,,https://www.douyin.com/discover?modal_id=7417427500772412724
小惠家的暖男,2681904,2024-10-22 14:09:34,11岁的儿子周末做的精致早餐，牛肉饼、胡辣汤、紫薯山药小花#日常vlog,10分:48秒,45617,6146,3086,0,48849,7428478197144079667,,https://www.douyin.com/discover?modal_id=7428478197144079667
