用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url
六六娱乐,1221458,2024/10/22 19:13,小孩哥你是真有本事啊 #小学生 #万万没想到 #小孩哥 #娱乐评论大赏,0分:30秒,18217,771,6613,224,126191,7428524599048010000 ,,https://www.douyin.com/video/7428524599048010000
鱼子,222,2024/10/23 11:29,小孩哥：0帧起手怎么挡？#小孩哥 #丈母娘,0分:13秒,80695,1429,7031,0,91877,7428808035771960000 ,,https://www.douyin.com/video/7428808035771960000
大热,2334618,2024/10/22 19:22,先天医学圣体#小孩哥 #离谱 #天才 #一起看,0分:22秒,197550,4801,9096,111,77848,7428558923344440000 ,,https://www.douyin.com/video/7428558923344440000
@温馨,204,2024/10/21 12:43,我每天都看小孩哥的视频，有时候在抖音上看到有人诋毁小孩哥，我就伤心痛苦，是怎样的畜生舍得诋毁小孩哥，我的眼泪流成河,0分:0秒,2005,47,159,0,11,7428084765351330000 ,,https://www.douyin.com/video/7428084765351330000
@Ze,439,2024/10/21 15:51,#看一遍笑一遍 #小孩哥 #你已经看了好几遍了,0分:12秒,79122,3271,6761,0,160353,7428133395076580000 ,,https://www.douyin.com/video/7428133395076580000
念秋小孩哥,1091,2024/10/23 19:36,2024.03.08（中下）秋风直播分享22分钟【高清版必须高清版】#秋风 #直播录屏分享 @秋风,22分:31秒,429,128,23,0,12,7428933453426490000 ,,https://www.douyin.com/video/7428933453426490000
千里江山,221,2024/10/22 16:24,男孩坐在客厅看电视，不料桌上的佤族水酒突然炸盖而出，小孩哥：要是没有监控 我是不是…… #小孩哥  #真相大白,0分:11秒,45788,1200,8588,132,161754,7428512933367360000 ,,https://www.douyin.com/video/7428512933367360000
压岁钱养猫的小孩哥,13105,2024/10/20 20:04,这种事情简直太有意义了！小孩哥！算你厉害！#流浪猫 #流浪猫救助 #领养代替购买,0分:47秒,189936,4128,11364,98,39483,7427827572039370000 ,,https://www.douyin.com/video/7427827572039370000
小孩哥爱学习,997,2024/10/24 6:45,#你们的孩子也是这样吗😂😂😂😄 #记录孩子的点点滴滴 #一路见证萌娃长大视频 #看看这小孩在干嘛,2分:7秒,0,0,0,0,0,7429105692096710000 ,,https://www.douyin.com/video/7429105692096710000
小孩哥,0,2024/10/24 0:52,,0分:10秒,0,0,0,0,0,7429014959029220000 ,,https://www.douyin.com/video/7429014959029220000
搞笑视频小孩哥,6,2024/10/23 21:29,笑死，我就是赌王！ #liarsbar,6分:31秒,0,0,0,0,0,7428962648793820000 ,,https://www.douyin.com/video/7428962648793820000
小孩哥！,0,2024/10/23 20:46,,0分:10秒,0,0,0,0,0,7428951434013520000 ,,https://www.douyin.com/video/7428951434013520000
娱乐吃瓜酱,3874694,2024/10/22 18:49,小孩哥的童年完整了*#小孩哥 #灵异事件 #万万没想到 #挨打的理由 @抖音小助手 cr：@寂寞才说爱,0分:25秒,2460,110,61,0,1957,7428549272762640000 ,,https://www.douyin.com/video/7428549272762640000
看👀笑😂话🌺,927,2024/10/21 19:41,小孩哥上央视新闻了#小孩哥 #小孩哥小孩姐名场面,0分:59秒,258,21,51,7,250,7428192672935890000 ,,https://www.douyin.com/video/7428192672935890000
小孩哥—小苹果,54,2024/10/23 23:30,今天小孩哥今天的耐心长一些#让阅读成为一种习惯 #一年级,3分:43秒,0,0,0,0,0,7428993801751920000 ,,https://www.douyin.com/video/7428993801751920000
扒圈圈,1752319,2024/10/23 23:41,小孩哥好牛啊！,0分:28秒,180,5,4,0,32,7428996553404140000 ,,https://www.douyin.com/video/7428996553404140000
大聪明菌,2197,2024/10/23 7:49,厉害的小孩儿哥，梦想还是要有的。#小孩哥 #内容过于真实 #梦想还是要有的,0分:0秒,12,3,1,0,1,7428751273601640000 ,,https://www.douyin.com/video/7428751273601640000
搞笑视频小孩哥,6,2024/10/23 21:27,不装了，摊牌了，鬼也只是我的手段而已！#liarsbar,6分:5秒,2,0,0,0,1,7428962083003200000 ,,https://www.douyin.com/video/7428962083003200000
听泉赏宝(鉴仁泉),30,2024/10/23 17:52,顶级小孩哥#直播录屏分享 #直播回放,18分:50秒,53,4,2,0,35,7428906719352210000 ,,https://www.douyin.com/video/7428906719352210000
小孩哥沐沐,9,2024/10/23 13:50,#人类幼崽 #萌娃日常 #唐诗,5分:52秒,9,1,2,0,7,7428844331093590000 ,,https://www.douyin.com/video/7428844331093590000
千里江山,221,2024/10/22 16:24,男孩坐在客厅看电视，不料桌上的佤族水酒突然炸盖而出，小孩哥：要是没有监控 我是不是…… #小孩哥  #真相大白,0分:11秒,45804,1199,8589,132,161857,7428512933367360000 ,,https://www.douyin.com/video/7428512933367360000
小孩哥—小苹果,54,2024/10/23 11:00,哥哥也整崩溃了教不下去了，哈哈#一年级拼音,0分:33秒,1,0,0,0,0,7428800532711520000 ,,https://www.douyin.com/video/7428800532711520000
小孩哥.🧚‍♀️,528,2024/10/23 10:31,你的外套又有新的共享者了,0分:0秒,114,1,16,0,0,7428793069090210000 ,,https://www.douyin.com/video/7428793069090210000
压岁钱养猫的小孩哥,13105,2024/10/20 20:04,这种事情简直太有意义了！小孩哥！算你厉害！#流浪猫 #流浪猫救助 #领养代替购买,0分:47秒,189959,4128,11366,98,39485,7427827572039370000 ,,https://www.douyin.com/video/7427827572039370000
笨蛋小孩哥,31,2024/10/23 16:46,#奶龙 可爱捏#别划走,0分:3秒,2,0,1,0,0,7428889579580680000 ,,https://www.douyin.com/video/7428889579580680000
小孩哥,48,2024/10/23 18:22,早早收摊啦😘 #摆摊日记 #努力就会有收获,2分:29秒,2,2,2,0,0,7428914471772440000 ,,https://www.douyin.com/video/7428914471772440000
小孩哥爱学习,997,2024/10/24 6:45,#你们的孩子也是这样吗😂😂😂😄 #记录孩子的点点滴滴 #一路见证萌娃长大视频 #看看这小孩在干嘛,2分:7秒,0,0,0,0,0,7429105692096710000 ,,https://www.douyin.com/video/7429105692096710000
小孩哥🏀,34,2024/10/23 22:17,看看孩子说啥#孩子年龄小但他什么都懂,0分:26秒,1,0,0,0,0,7428975015413970000 ,,https://www.douyin.com/video/7428975015413970000
小孩哥,0,2024/10/23 22:28,我的发！！！,0分:3秒,0,0,0,0,0,7428977872745810000 ,,https://www.douyin.com/video/7428977872745810000
小孩哥安仔,5,2024/10/23 23:02,你家崽子也这么馋吗？辣条也敢造次😂 #小孩哥 #人类幼崽迷惑行为大赏 #小屁孩的日常 #馋嘴宝宝 #人类幼崽都这么馋吗,0分:32秒,2,0,0,0,0,7428986538614090000 ,,https://www.douyin.com/video/7428986538614090000
小孩哥—小苹果,54,2024/10/23 17:00,小孩哥不在状态#让阅读成为一种习惯 #一年级,3分:9秒,0,0,0,0,0,7428806022539520000 ,,https://www.douyin.com/video/7428806022539520000
小孩哥,0,2024/10/24 0:52,,0分:10秒,0,0,0,0,0,7429014959029220000 ,,https://www.douyin.com/video/7429014959029220000
我是小孩哥,24,2024/10/23 20:40,如果有怪人破门而入，请务必不要下床！,1分:39秒,0,0,0,0,0,7428949910873010000 ,,https://www.douyin.com/video/7428949910873010000
搞笑视频小孩哥,6,2024/10/23 21:29,笑死，我就是赌王！ #liarsbar,6分:31秒,0,0,0,0,0,7428962648793820000 ,,https://www.douyin.com/video/7428962648793820000
小孩哥,18,2024/10/23 21:03,,0分:0秒,0,0,0,0,0,7428955932320590000 ,,https://www.douyin.com/video/7428955932320590000
啊扎,950,2024/10/23 0:02,精神   小孩哥 #精神小伙 #瞧这小眼神 #爆改小孩哥,0分:0秒,25,1,12,0,0,7428630909475210000 ,,https://www.douyin.com/video/7428630909475210000
小孩哥！,0,2024/10/23 20:46,,0分:10秒,0,0,0,0,0,7428951434013520000 ,,https://www.douyin.com/video/7428951434013520000
娱乐吃瓜酱,3874691,2024/10/22 18:49,小孩哥的童年完整了*#小孩哥 #灵异事件 #万万没想到 #挨打的理由 @抖音小助手 cr：@寂寞才说爱,0分:25秒,2460,110,61,0,1957,7428549272762640000 ,,https://www.douyin.com/video/7428549272762640000
看👀笑😂话🌺,927,2024/10/21 19:41,小孩哥上央视新闻了#小孩哥 #小孩哥小孩姐名场面,0分:59秒,259,21,51,7,250,7428192672935890000 ,,https://www.douyin.com/video/7428192672935890000
小孩哥—小苹果,54,2024/10/23 23:30,今天小孩哥今天的耐心长一些#让阅读成为一种习惯 #一年级,3分:43秒,0,0,0,0,0,7428993801751920000 ,,https://www.douyin.com/video/7428993801751920000
小孩哥,74,2024/10/23 19:39,#上课 #医学,0分:6秒,31,0,1,0,16,7428934291175850000 ,,https://www.douyin.com/video/7428934291175850000
扒圈圈,1752319,2024/10/23 23:41,小孩哥好牛啊！,0分:28秒,181,5,4,0,32,7428996553404140000 ,,https://www.douyin.com/video/7428996553404140000
云要怎么飞,1384,2024/10/23 16:37,又到鸟语林了#抖音热点宝 #小孩哥 #亲近大自然的一天 #小孩哥名场面,0分:0秒,9,1,0,0,0,7428887262332530000 ,,https://www.douyin.com/video/7428887262332530000
布丁探娱,4767,2024/10/23 17:29,小孩哥与他的竹叶青宠物...。#小孩哥 #狠人 #蛇,0分:0秒,36,5,4,0,22,7428900333062990000 ,,https://www.douyin.com/video/7428900333062990000
🌈小孩哥！,56,2024/10/24 4:40,#KTV,0分:0秒,1,0,0,0,0,7429072958783540000 ,,https://www.douyin.com/video/7429072958783540000
小孩哥,1102,2024/10/21 15:09,#生活不易 #记录真实生活 #真实还原,3分:52秒,3,0,0,0,5,7428122587487660000 ,,https://www.douyin.com/video/7428122587487660000
小孩哥,0,2024/10/23 18:59,,0分:10秒,0,0,0,0,0,7428923984214870000 ,,https://www.douyin.com/video/7428923984214870000
新华社,68907693,2024/10/21 15:08,“小孩哥”不慎摔下步道，第一个电话没打给妈妈，却抽泣着打给了119（记者：周磊）,0分:36秒,53106,1080,761,60,881,7428121872094480000 ,新华通讯社官方账号,https://www.douyin.com/video/7428121872094480000
小孩哥👼🏻,5,2024/10/23 16:48,我100天啦～#百天宝宝 #人类幼崽,0分:0秒,7,0,1,0,4,7428890142464670000 ,,https://www.douyin.com/video/7428890142464670000
艾雅,3552,2024/10/23 10:31,谢谢小孩哥。读高中的时候都不会现在学会了～#小孩哥,2分:39秒,123,32,47,0,83,7428793114950650000 ,,https://www.douyin.com/video/7428793114950650000
孙子七,656284,2024/10/21 17:40,小孩哥见到刺客16也得立刻起立 #足球的魅力 #刺客16 #小孩哥,0分:12秒,18451,1044,549,25,3379,7428161598545480000 ,,https://www.douyin.com/video/7428161598545480000
压岁钱养猫的小孩哥,13106,2024/10/21 20:00,150万人看过的小孩哥摆摊帮流浪猫找主人的视频后续来咯#流浪猫 #流浪猫救助 #小孩哥摆摊帮流浪猫找主人,1分:29秒,3431,76,484,1,173,7428197701461740000 ,,https://www.douyin.com/video/7428197701461740000
毒舌娱乐,5283459,2024/10/21 18:30,小孩哥真就完全是凭实力站在C位上的，太可爱啦！ #可爱到爆炸💥 #小孩哥 #逻辑鬼才,1分:17秒,3756,187,134,12,2891,7428138247324170000 ,,https://www.douyin.com/video/7428138247324170000
小孩哥,839,2024/10/23 9:58,#钱是最可靠的东西,0分:0秒,534,64,57,0,7,7428784545224210000 ,,https://www.douyin.com/video/7428784545224210000
小孩哥~,3,2024/10/24 0:26,看似我在陪他玩，实则是他在陪我玩诶 #小孩子的快乐 #体验小孩子的快乐,0分:7秒,1,0,0,0,0,7429008175006760000 ,,https://www.douyin.com/video/7429008175006760000
小孩哥,49,2024/10/23 14:30,好似起了雾#vlog,0分:49秒,7,0,1,0,0,7428854643465160000 ,,https://www.douyin.com/video/7428854643465160000
泡沫绿茶漫威,1127600,2024/10/23 18:34,太帅了，还得是小孩哥啊，被这群小孩哥给帅到了#混剪 #名场面,2分:32秒,2096,228,21,0,71,7428838921183800000 ,,https://www.douyin.com/video/7428838921183800000
家有小孩哥一枚,181,2024/10/23 20:24,来一段小孩哥每日必做的运动吧，喜欢就去学习，不用去过问结果如何，享受过程吧…让喜爱刻在骨子里。他日情绪低落时它可能是带你走出绝境的那道光#日常锻炼记录 #小孩哥日常,0分:34秒,19,1,0,0,0,7428945920294680000 ,,https://www.douyin.com/video/7428945920294680000
