平台,用户名,内容,分享数,评论数,点赞数,url,uni_id,发布时间
微博,有理想的蓝大,王冰冰素颜像高中生，难怪大家都喜欢她 ,0,1,4,https://m.weibo.cn/detail/P3zio3glH,,2024-12-06 08:52:37
微博,吻奶珊的喵酱,王冰冰#王冰冰#  叛逆是给世界的， 温柔是给你的。@吃花椒的喵酱 ,2,131,145,https://m.weibo.cn/detail/P3q0GuOm9,,2024-12-05 09:14:18
微博,霹雳时光机,喜报！范冰冰、李冰冰、王冰冰，获得哈尔滨冰雪大世界免费入园游玩资格一次！ ,1,28,39,https://m.weibo.cn/detail/P3rx7vkqC,,2024-12-05 13:06:56
微博,打彩虹六号的喵酱,王冰冰 冰冰又偷偷关注了谁 ,0,19,11,https://m.weibo.cn/detail/P3z5JwhD3,,2024-12-06 08:21:27
微博,我家的许宝儿,王冰冰 一年岁暮，落雪为念，冬意渐浓，至此雪盛，岁月深长，万物有期！[比心]愿你不负偏爱，不负期待，浅喜暖望，静许宁安 ,1,3,8,https://m.weibo.cn/detail/P3z3Hglpe,,2024-12-06 08:16:26
微博,琪琪2020520,王冰冰 大雪至，冬安好，四季轮回，自在欢喜。早安大家，早安冰冰 ,0,5,3,https://m.weibo.cn/detail/P3z1G3yoy,,2024-12-06 08:11:27
微博,-_-大胖,#名字含冰冰或雪雪可免费玩冰雪大世界#王冰冰，李冰冰，范冰冰，大胖冰冰马上就来#丁零当啷#大胖同学 ,0,0,0,https://m.weibo.cn/detail/P3yEjw7le,,2024-12-06 07:13:54
微博,吻奶珊的喵酱,王冰冰#王冰冰#  怀念你柔情似水的眼睛 是我天空最美丽的星星 ,4,7,62,https://m.weibo.cn/detail/P3tuvywX9,,2024-12-05 18:06:01
微博,小娱精选,糟糕，好像是心动的感觉呢！ #高颜值# #王冰冰# #气质美女# 小娱精选的微博视频 ,0,1,1,https://m.weibo.cn/detail/P3xRzdzUy,,2024-12-06 05:13:48
微博,彤彤不迷糊_见过杨幂2次版,#名字含冰冰或雪雪可免费玩冰雪大世界#范冰冰 李冰冰 王冰冰  点名你们 ,0,0,0,https://m.weibo.cn/detail/P3wiulYx3,,2024-12-06 01:14:38
微博,小鱼的悄悄语,王冰冰 晚安啦，我的宝 ,1,6,8,https://m.weibo.cn/detail/P3vFCa5OY,,2024-12-05 23:38:51
微博,今天也花痴,王冰冰你好 我是王雪雪//@吃花椒的喵酱:是我有生以来遇到的最大奖项了,0,0,0,https://m.weibo.cn/detail/P3vETnYk9,,2024-12-05 23:37:04
微博,苏摩之爱,#名字含冰冰或雪雪可免费玩冰雪大世界#那王冰冰不得爽玩一整年 ,0,1,0,https://m.weibo.cn/detail/P3vEik381,,2024-12-05 23:35:36
微博,星光乐台,时隔四个月，王冰冰再度公开露面，担任《央视频之夜》的主持人。#王冰冰# #治愈系笑容# 星光乐台的微博视频 ,0,1,0,https://m.weibo.cn/detail/P3vDNnXLL,,2024-12-05 23:34:23
微博,卿携秋色揽星河,#名字含冰冰或雪雪可免费玩冰雪大世界#此处应该艾特王冰冰@吃花椒的喵酱 ,0,5,7,https://m.weibo.cn/detail/P3vCwcxBm,,2024-12-05 23:31:14
微博,颜值向,#王冰冰# 在舆论风波中沉寂四个月后，终于能再次听到那熟悉的“我是总台记者王冰冰了”😭 #娱乐企划# 颜值向的微博视频 ,0,1,0,https://m.weibo.cn/detail/P3vzWFHUG,,2024-12-05 23:24:54
微博,米格战斗飞机联合体,#名字含冰冰或雪雪可免费玩冰雪大世界#范冰冰，李冰冰，王冰冰，白冰冰 ,0,1,17,https://m.weibo.cn/detail/P3vzdbzSB,,2024-12-05 23:23:05
微博,哎哟哥哥在三年二班,王冰冰 晚上好 壁纸④张 @吃花椒的喵酱 ,1,126,51,https://m.weibo.cn/detail/P3uNBbrrB,,2024-12-05 21:25:47
