用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url_2,id,url
落荒,43,2024/10/23 19:35,这种头像都是谁在用。#帅哥 #男头 #小孩哥头像,0分:0秒,25,7,1,0,1,7.43E+18,,https://www.douyin.com/discover?modal_id=7428933269070138636,7428933269070138636,https://www.douyin.com/video/7428933269070138636
汣（蛋仔派对）,2348,2024/10/23 14:22,蛋仔派对超强小孩哥 在步行街遇到的超强小孩哥#韩国歌曲 #小孩哥 #蛋仔玩家精神状态 #蛋仔派对步行街 #满级小孩,8分:11秒,40,5,6,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428852556966677800,7428852556966677800,https://www.douyin.com/video/7428852556966677800
林奕辰,626,2024/10/23 13:06,#小屁孩越来越像那么回事了 #酷酷的小孩哥,0分:0秒,18,0,6,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428833103516306697,7428833103516306697,https://www.douyin.com/video/7428833103516306697
松鼠不吃姜,136475,2024/10/23 0:20,云南小孩哥能有多清醒？只要前往正义的路我都想走#崔思敏 #瞬间戳中泪点 #三生教育,0分:0秒,74,3,6,0,1,7.43E+18,,https://www.douyin.com/discover?modal_id=7428635405504859392,7428635405504859392,https://www.douyin.com/video/7428635405504859392
小孩哥挺皮…实,817,2024/10/23 18:41,原来运镜这么难，老母亲拖后腿了哈#运镜菜鸟 #爱跳舞的小孩,0分:48秒,54,3,14,0,5,7.43E+18,,https://www.douyin.com/discover?modal_id=7428919489279823141,7428919489279823141,https://www.douyin.com/video/7428919489279823141
云南日报,1156358,2024/10/22 10:32,音乐一响，脚杆就痒，小孩哥扛起音响就是跳。#有一种叫云南的生活    #美好生活在云南    #七彩云南样样好,0分:25秒,6088,159,293,41,17133,7.43E+18,云南日报官方抖音号,https://www.douyin.com/discover?modal_id=7428421634249215258,7428421634249215258,https://www.douyin.com/video/7428421634249215258
小孩哥,93,2024/10/23 22:53,不被定义 #失去你我不难过,0分:29秒,1,0,1,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428984310755118386,7428984310755118386,https://www.douyin.com/video/7428984310755118386
神秘的小孩哥（实力至上）,451,2024/10/24 6:08,交给我们吧#小孩哥 #一起打游戏,0分:4秒,2,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429096233072954684,7429096233072954684,https://www.douyin.com/video/7429096233072954684
小胖虎吖??,2599,2024/10/23 14:24,酷爱挖机的小孩哥#日常vlog #我的男孩 #人类幼崽,0分:0秒,8,1,2,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428853210103745826,7428853210103745826,https://www.douyin.com/video/7428853210103745826
小孩哥,47,2024/10/23 18:59,#夫妻#孩子家庭婚姻,0分:5秒,2,0,1,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428923967966055716,7428923967966055716,https://www.douyin.com/video/7428923967966055716
来份鸡蛋灌饼,248,2024/10/21 21:38,火力全开的小孩哥#小孩哥 #小孩哥照片 @我有杀伤力,0分:0秒,23,2,2,0,23,7.43E+18,,https://www.douyin.com/discover?modal_id=7428222940207959308,7428222940207959308,https://www.douyin.com/video/7428222940207959308
小拉条子,335,2024/10/23 21:10,小孩哥 ??。#小屁孩越来越像那么回事了,0分:0秒,22,2,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428957837172280639,7428957837172280639,https://www.douyin.com/video/7428957837172280639
星辰大海不及你,69,2024/10/23 18:54,小孩哥啊，小孩哥，从秋天啊哭到快冬天了，脸都哭皴了，你还不回来吗？我都要埋怨你了，你怎么忍心看我们这么难过呢？#念念不忘必有回响,0分:0秒,414,21,49,0,1,7.43E+18,,https://www.douyin.com/discover?modal_id=7428922776578297146,7428922776578297146,https://www.douyin.com/video/7428922776578297146
小孩哥的妈,660,2024/10/23 21:49,我觉得我好丢人，那么多年的学白上了 我做不出来这道题#被逼疯的家长 #万万没想到,0分:0秒,0,0,4,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428967891204148480,7428967891204148480,https://www.douyin.com/video/7428967891204148480
快乐的小孩哥,124,2024/10/23 19:23,如果有怪人破门而入，请务必不要下床！,4分:3秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428930300652080421,7428930300652080421,https://www.douyin.com/video/7428930300652080421
泪_无痕,929,2024/10/24 9:02,弟弟太想进步了#小学生 #孩子你无敌了 #小孩哥,0分:8秒,99,1,11,0,86,7.43E+18,,https://www.douyin.com/discover?modal_id=7429141268631932187,7429141268631932187,https://www.douyin.com/video/7429141268631932187
名字我還沒想好,567,2024/10/23 21:36,#我的小男孩 酷酷的小孩哥,0分:0秒,16,0,1,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428964381762899260,7428964381762899260,https://www.douyin.com/video/7428964381762899260
小孩哥,5,2024/10/23 20:35,记录被母老虎强迫的第17天#日积月累 今天我很不开心??在托管班和一位同学闹别扭，回到家还被母老虎凶了一顿，你们肯定能看出我不情愿的样子吧，就是她逼得，哼??,2分:16秒,2,1,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428948832047664410,7428948832047664410,https://www.douyin.com/video/7428948832047664410
浩然弟弟,12419,2024/10/22 18:46,好好好 话题终结者#童言童语 #精神状态belike #人类幼崽 #这世界离不开小孩哥,0分:4秒,24805,1154,4660,139,63441,7.43E+18,,https://www.douyin.com/discover?modal_id=7428549562593316154,7428549562593316154,https://www.douyin.com/video/7428549562593316154
小孩哥,395592,2024/9/30 20:45,#腼腆男孩 #内向社恐 今天有事 明天早上更新,0分:0秒,32389,1605,1014,0,2204,7.42E+18,,https://www.douyin.com/discover?modal_id=7420416400864398601,7420416400864398601,https://www.douyin.com/video/7420416400864398601
杰哥,343,2024/10/23 12:59,#酷酷的小孩哥,0分:0秒,19,0,2,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428831241547287865,7428831241547287865,https://www.douyin.com/video/7428831241547287865
大海 蓝天 白云,522,2024/10/23 18:39,酷酷的小孩哥,0分:0秒,14,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428918908050083072,7428918908050083072,https://www.douyin.com/video/7428918908050083072
逗趣影像,92,2024/10/23 19:28,#真实还原 #学生时代 #小孩哥 #视频来源于网络,0分:27秒,56,2,6,0,448,7.43E+18,,https://www.douyin.com/discover?modal_id=7428931575288548643,7428931575288548643,https://www.douyin.com/video/7428931575288548643
我是小孩哥,40,2024/10/23 16:07,#认识了十多年的女孩子终于可以公开了,0分:0秒,7,0,2,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428879597782977801,7428879597782977801,https://www.douyin.com/video/7428879597782977801
阿瑟纪录片传奇,25,2024/10/23 21:06,热水太烫我不敢碰，人心太凉，我不敢摸#大型纪录片 #小孩哥名场面 #熊孩子搞笑日常 #万万没想到,0分:58秒,175,12,22,0,908,7.43E+18,,https://www.douyin.com/discover?modal_id=7428956611630075187,7428956611630075187,https://www.douyin.com/video/7428956611630075187
马明骏,20348,2024/10/23 17:09,小孩哥你有病啊 #小孩哥 #随拍 #路人视角,0分:8秒,301,1,30,0,68,7.43E+18,,https://www.douyin.com/discover?modal_id=7428895551111925030,7428895551111925030,https://www.douyin.com/video/7428895551111925030
冰糖胡芦,1031,2024/10/23 19:38,#酷酷的小孩哥,0分:0秒,16,0,6,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428933967077707020,7428933967077707020,https://www.douyin.com/video/7428933967077707020
306,644,2024/10/23 19:57,#小孩哥头像 #动漫男头 #值得你长期不换的头像 #动漫男生头像 #男头,0分:0秒,70,8,3,0,11,7.43E+18,,https://www.douyin.com/discover?modal_id=7428938830616595772,7428938830616595772,https://www.douyin.com/video/7428938830616595772
东北_小孩哥威廉??,52,2024/10/23 15:12,#记录孩子的点点滴滴 #小孩舞蹈 这孩子有舞台就控制不了自己啦！这是哪里来的??,0分:32秒,2,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428865340408483083,7428865340408483083,https://www.douyin.com/video/7428865340408483083
臭屁小孩哥,916,2024/10/23 15:18,今天你特别令人着迷#今天妆令人特别着迷 #少年感 #秋天,0分:0秒,125,3,18,0,16,7.43E+18,,https://www.douyin.com/discover?modal_id=7428867037822274816,7428867037822274816,https://www.douyin.com/video/7428867037822274816
小孩哥 我的洋,141,2024/10/24 0:12,新疆小孩爱吃拉面#我的男孩 #干饭宝宝上线,0分:14秒,4,1,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429004498397367604,7429004498397367604,https://www.douyin.com/video/7429004498397367604
小孩哥,91,2024/10/23 10:38,#天然治愈之旅 #了不起的中国传承,0分:9秒,64,2,3,0,1,7.43E+18,,https://www.douyin.com/discover?modal_id=7428794863581252874,7428794863581252874,https://www.douyin.com/video/7428794863581252874
小孩哥,10,2024/10/24 0:09,恋与王者也该轮到我了吧#游戏日常 #游戏搭子,0分:25秒,1,0,1,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429003844870311180,7429003844870311180,https://www.douyin.com/video/7429003844870311180
小孩哥,68,2024/10/24 7:48,体能哥哥，忙碌的一天！！！,0分:50秒,5,0,0,0,1,7.43E+18,,https://www.douyin.com/discover?modal_id=7429122057163656459,7429122057163656459,https://www.douyin.com/video/7429122057163656459
小孩哥,1102,2024/10/23 7:40,#真实还原 #原谅我不厚道的笑了 #邪恶栀子花是什么梗,4分:22秒,1,0,1,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428748897012485386,7428748897012485386,https://www.douyin.com/video/7428748897012485386
地表最强小孩哥,41292,2024/9/15 22:39,#小孩哥#周杰伦 #周杰伦演唱会,0分:52秒,453921,13210,9380,218,75102,7.41E+18,,https://www.douyin.com/discover?modal_id=7414879315277384969,7414879315277384969,https://www.douyin.com/video/7414879315277384969
小孩哥的模型之路,3,2024/10/23 12:52,小孩哥模型收集之路 2 夜骑。我爸爸送我的玩具#万代 #模型 #真骨雕 #卡面来打 #真骨雕,0分:0秒,21,1,3,0,3,7.43E+18,,https://www.douyin.com/discover?modal_id=7428829456833187084,7428829456833187084,https://www.douyin.com/video/7428829456833187084
??硕硕小姐姐??,959,2024/10/23 21:24,特别的爱给特别的你。#酷酷的小孩哥 #小骑手冲啊萌娃骑车,0分:0秒,11,0,2,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428961385989639487,7428961385989639487,https://www.douyin.com/video/7428961385989639487
?? (?? ￣?村花￣? )?? ??,1046,2024/10/23 20:16,#酷酷的小孩哥,0分:0秒,16,0,4,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428943907108523305,7428943907108523305,https://www.douyin.com/video/7428943907108523305
萍宝i,3011,2024/10/23 21:47,小孩哥的日常#记录你的点点滴滴 #这是我的小baby啊,0分:0秒,8,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428967411363106108,7428967411363106108,https://www.douyin.com/video/7428967411363106108
家有小孩哥,37,2024/10/23 19:37,#你家孩子也这样吗  在这里跟我演起感情深厚,0分:53秒,7,0,2,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428933756662156554,7428933756662156554,https://www.douyin.com/video/7428933756662156554
??雁子??,380,2024/10/23 14:25,他好酷#酷酷的小孩哥 #墨镜一戴谁也不爱,0分:0秒,15,0,10,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428853261102238991,7428853261102238991,https://www.douyin.com/video/7428853261102238991
小十月??,317,2024/10/23 22:02,我把我所有的耐心跟好脾气都给了这个小孩哥，他每天都好开心就行,0分:0秒,20,0,2,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428971140653108530,7428971140653108530,https://www.douyin.com/video/7428971140653108530
大蓝,2901,2024/10/23 12:26,#公交车 #公交车上趣事多 #小孩哥 #布加迪 #小米su7,0分:40秒,3467,146,3749,25,11469,7.43E+18,,https://www.douyin.com/discover?modal_id=7428822657128205579,7428822657128205579,https://www.douyin.com/video/7428822657128205579
看??笑??话??,927,2024/10/21 19:41,小孩哥上央视新闻了#小孩哥 #小孩哥小孩姐名场面,0分:59秒,261,21,51,7,250,7.43E+18,,https://www.douyin.com/discover?modal_id=7428192672935890211,7428192672935890211,https://www.douyin.com/video/7428192672935890211
苏州KSG王者荣耀分部,129947,2024/10/23 22:04,流浪-巅峰第一也是（一年级） #苏州KSG #电竞 #小猿口算,0分:25秒,1089,10,41,0,46,7.43E+18,KSG电子竞技俱乐部官方账号,https://www.douyin.com/discover?modal_id=7428970719494606121,7428970719494606121,https://www.douyin.com/video/7428970719494606121
爱临沂,479919,2024/10/22 10:12,临沂中学生手搓火箭 惊呆网友#临沂 #小孩哥 @小恒ovo,0分:12秒,336,17,15,0,176,7.43E+18,临沂市广播电视台——爱临沂网,https://www.douyin.com/discover?modal_id=7428415946190097699,7428415946190097699,https://www.douyin.com/video/7428415946190097699
我的偶像巨顽皮,8335321,2024/10/23 17:50,教得好解救的是人民，教不好解剖的是人民,0分:29秒,264255,10021,7419,283,129556,7.43E+18,娱乐视频自媒体,https://www.douyin.com/discover?modal_id=7428905475783003407,7428905475783003407,https://www.douyin.com/video/7428905475783003407
广西都市频道,180111,2024/10/23 11:08,近日，广西南宁。小孩哥手拿辣条，就这样头也不回，一路“披荆斩棘”。#广西南宁 #小孩哥,0分:9秒,42,4,5,0,57,7.43E+18,广西广播电视台都市频道官方抖音账号,https://www.douyin.com/discover?modal_id=7428801427486657792,7428801427486657792,https://www.douyin.com/video/7428801427486657792
包头新闻网,589125,2024/10/24 8:27,小孩哥骑车楼梯极限下降迷倒万千路人 #小孩哥 #帅气出场 #极限挑战 #迷人,0分:14秒,47,6,2,0,5,7.43E+18,包头新闻网官方账号,https://www.douyin.com/discover?modal_id=7428926713628839194,7428926713628839194,https://www.douyin.com/video/7428926713628839194
光影中国,5047779,2024/10/23 20:01,小孩哥的心也跟着碎了（来源：@新华社快看 ）03,0分:7秒,394,40,9,0,15,7.43E+18,光影中国网官方抖音号,https://www.douyin.com/discover?modal_id=7428939979918806324,7428939979918806324,https://www.douyin.com/video/7428939979918806324
新华社快看,8311922,2024/10/22 10:00,逻辑很清晰的小孩哥，凭实力站上的C位，妈妈：其实我憋笑憋得很辛苦,0分:48秒,2702,227,59,20,635,7.43E+18,新华社快看官方账号,https://www.douyin.com/discover?modal_id=7428413864879967528,7428413864879967528,https://www.douyin.com/video/7428413864879967528
热度新闻,2838519,2024/10/22 16:57,小孩哥餐厅吃饭听到生日歌， 给隔壁爷爷送上祝福后得到蛋糕 ，小孩：凭本事吃蛋糕,0分:18秒,3915,147,71,4,75,7.43E+18,江西旅游广播热度新闻栏目,https://www.douyin.com/discover?modal_id=7428521499063110950,7428521499063110950,https://www.douyin.com/video/7428521499063110950
扒圈圈,1752312,2024/10/23 23:41,小孩哥好牛啊！,0分:28秒,181,5,4,0,33,7.43E+18,,https://www.douyin.com/discover?modal_id=7428996553404140863,7428996553404140863,https://www.douyin.com/video/7428996553404140863
新华社,68908162,2024/10/21 15:08,“小孩哥”不慎摔下步道，第一个电话没打给妈妈，却抽泣着打给了119（记者：周磊）,0分:36秒,53164,1084,762,60,882,7.43E+18,新华通讯社官方账号,https://www.douyin.com/discover?modal_id=7428121872094481698,7428121872094481698,https://www.douyin.com/video/7428121872094481698
六六??,1930,2024/10/23 18:58,阿静昨晚的6公里?? 小孩哥和小孩姐昨晚pk，输了跑步，但是今天小孩哥会不会被小孩姐家董事长??????#孙恩盛 #安静公主,5分:26秒,149,10,7,0,3,7.43E+18,,https://www.douyin.com/discover?modal_id=7428923764131237177,7428923764131237177,https://www.douyin.com/video/7428923764131237177
Freedom,2804,2024/10/21 13:59,来自小孩哥的压迫感#是时候展现真正的技术了 #路人视角 #街舞 #小孩子,0分:34秒,261021,9522,29063,410,152926,7.43E+18,,https://www.douyin.com/discover?modal_id=7428104506426051880,7428104506426051880,https://www.douyin.com/video/7428104506426051880
洛阳晚报教育周刊,406573,2024/10/23 13:05,愿全世界的妈妈都能被温柔以待 #暖心 #小孩哥 #给妈妈过生日 #人类幼崽,0分:14秒,244,5,3,0,13,7.43E+18,《洛阳晚报教育周刊》官方账号,https://www.douyin.com/discover?modal_id=7428832748611095820,7428832748611095820,https://www.douyin.com/video/7428832748611095820
海边小卖部,210,2024/10/24 7:21,#小孩哥 #社会人,0分:10秒,455,76,35,16,989,7.43E+18,,https://www.douyin.com/discover?modal_id=7429114978847739195,7429114978847739195,https://www.douyin.com/video/7429114978847739195
@凪卄,2389,2024/10/23 17:30,小孩哥：在我这你永远都得低着头说话 #逆天 #意想不到的结局 #意不意外,0分:11秒,281,19,37,0,1791,7.43E+18,,https://www.douyin.com/discover?modal_id=7428901007565802764,7428901007565802764,https://www.douyin.com/video/7428901007565802764
河南广播电视台民生频道,24036136,2024/10/22 19:34,10月21日，吉林，小孩哥的心碎时刻 球滚到马路中间 ，司机小心翼翼减速 没想到还是压扁了，司机：为了你的安全 这个锅我背了 来源@蓝桥春雪^ #小孩哥 #心碎时刻,0分:6秒,1677,210,27,3,110,7.43E+18,河南广播电视台民生频道官方抖音号,https://www.douyin.com/discover?modal_id=7428561071545388340,7428561071545388340,https://www.douyin.com/video/7428561071545388340
新华社快看,8311922,2024/10/23 15:53,10月21日，吉林。以为车减速是要避让，没想到是为了瞄准。网友：球被压爆的瞬间，小孩哥的心也跟着碎了,0分:7秒,1200,59,65,4,163,7.43E+18,新华社快看官方账号,https://www.douyin.com/discover?modal_id=7428875522274364722,7428875522274364722,https://www.douyin.com/video/7428875522274364722
三言两娱,2607011,2024/10/21 10:50,不是这匹配机制阴成啥了#搞笑 #万万没想到 #小孩哥,0分:21秒,683,32,15,3,546,7.43E+18,,https://www.douyin.com/discover?modal_id=7428055415067348243,7428055415067348243,https://www.douyin.com/video/7428055415067348243
星娱BANANA,1615440,2024/10/23 20:51,大爷：这不是鸽子 是我的脚鸭子 #娱乐评论大赏 #搞笑 #小孩哥,0分:22秒,240,2,14,0,793,7.43E+18,,https://www.douyin.com/discover?modal_id=7428952978448583987,7428952978448583987,https://www.douyin.com/video/7428952978448583987
视听传媒,2350413,2024/10/22 15:14,10月17日，上海。被三岁小孩哥科普了常识，“这样是甜哒，这样是不甜哒”，网友：这么多年，设计师是一声也不吭啊。(感谢来源：@王福财（不瘦30斤不改id版） ),0分:12秒,285,21,8,0,86,7.43E+18,潍坊人民广播电台,https://www.douyin.com/discover?modal_id=7428494090393734415,7428494090393734415,https://www.douyin.com/video/7428494090393734415
小孩哥,584,2024/9/30 10:27,#巴雷特学长 #gxp官方旗舰店 #gxp真理子杯,0分:32秒,1540,273,47,2,514,7.42E+18,,https://www.douyin.com/discover?modal_id=7420257220647980340,7420257220647980340,https://www.douyin.com/video/7420257220647980340
小孩哥,72354,2024/10/19 21:56,可调焦距版显微镜,0分:11秒,6115,1526,550,0,601,7.43E+18,,https://www.douyin.com/discover?modal_id=7427485223668976955,7427485223668976955,https://www.douyin.com/video/7427485223668976955
平顶山广播电视台,844957,2024/10/22 13:31,妈妈让小孩哥拿出周末作业  蛤蟆、面包虫都拿出来了 就是没有作业  网友：扒开蛤蟆嘴看看 也许被吃了呢,0分:11秒,227,12,8,5,47,7.43E+18,平顶山广播电视台,https://www.douyin.com/discover?modal_id=7428468331688004891,7428468331688004891,https://www.douyin.com/video/7428468331688004891
世界青田,419337,2024/10/17 16:50,“e”人小孩哥坐公交车，一屁股坐在陌生爷爷腿上#小孩哥 #勇敢的人先享受世界,0分:16秒,207,5,6,0,11,7.43E+18,青田传媒集团,https://www.douyin.com/discover?modal_id=7426632261962894642,7426632261962894642,https://www.douyin.com/video/7426632261962894642
江西旅游广播,2864879,2024/10/22 15:33,周末带孩子刮腻子体验生活,0分:9秒,336,48,46,7,297,7.43E+18,江西旅游广播官方抖音号,https://www.douyin.com/discover?modal_id=7428499870245227785,7428499870245227785,https://www.douyin.com/video/7428499870245227785
gi次,137,2024/10/13 8:23,小孩哥保护的挺好#这就是传说中的小孩哥吗 #保护机制 #吃的挺好 #听泉鉴宝 #谢谢有被笑到,0分:15秒,1194,252,174,5,471,7.43E+18,,https://www.douyin.com/discover?modal_id=7425048852291505467,7425048852291505467,https://www.douyin.com/video/7425048852291505467
长安城草民,8599,2024/10/11 14:38,#拍摄花絮 #录制现场 小孩儿哥：我就是不哭，除非你打我??,0分:13秒,32743,8489,347,53,597,7.42E+18,,https://www.douyin.com/discover?modal_id=7424403691148496178,7424403691148496178,https://www.douyin.com/video/7424403691148496178
念秋小孩哥,1091,2024/10/23 19:36,2024.03.08（中下）秋风直播分享22分钟【高清版必须高清版】#秋风 #直播录屏分享 @秋风,22分:31秒,445,129,23,0,12,7.43E+18,,https://www.douyin.com/discover?modal_id=7428933453426494720,7428933453426494720,https://www.douyin.com/video/7428933453426494720
不吃苹果,6243,2024/9/25 18:35,看来下次要帮小孩哥戒网瘾了#华为网吧#华为专卖店,0分:10秒,23702,601,787,14,11378,7.42E+18,,https://www.douyin.com/discover?modal_id=7418527310992674086,7418527310992674086,https://www.douyin.com/video/7418527310992674086
泡沫绿茶漫威,1127596,2024/10/23 18:34,太帅了，还得是小孩哥啊，被这群小孩哥给帅到了#混剪 #名场面,2分:32秒,2131,231,21,0,72,7.43E+18,,https://www.douyin.com/discover?modal_id=7428838921183808820,7428838921183808820,https://www.douyin.com/video/7428838921183808820
北大仙,24429,2024/10/21 18:18,小孩哥倒反天罡，要求09天花板向他全家道歉。#09天花板打野 #王者荣耀 #王者荣耀创作者激励计划,1分:6秒,795,87,106,1,85,7.43E+18,,https://www.douyin.com/discover?modal_id=7428171182400097547,7428171182400097547,https://www.douyin.com/video/7428171182400097547
蓝桉,3120,2024/10/22 9:25,#小孩哥教科书式报警救自己#男孩被困在找妈妈和找警察中选择了后者#近日，云南大理，一名小男孩在和朋友玩耍时不慎摔下步道，掉到离地约4米的水沟边，被吓得不轻的小男孩抽泣着拨打了119……版本过低，升级后可展示全部信息,0分:36秒,1070,31,40,0,55,7.43E+18,,https://www.douyin.com/discover?modal_id=7428405050512248116,7428405050512248116,https://www.douyin.com/video/7428405050512248116
梦中有月光宝盒,1685,2024/10/23 21:48,#天下苍生谁人救#惩恶扬善一身正气 #了不起的中国传承 #拯救天下苍生为己任 嵩山少林,12分:57秒,2624,255,3155,0,50,7.43E+18,,https://www.douyin.com/discover?modal_id=7428967472541322506,7428967472541322506,https://www.douyin.com/video/7428967472541322506
星闻,1140337,2024/10/23 20:16,#搞笑 #爆笑名场面 #上学 老师：我嘞个四年级的小孩哥啊，原来感冒的是我啊！,1分:35秒,1834,83,168,0,5967,7.43E+18,,https://www.douyin.com/discover?modal_id=7428912571337428239,7428912571337428239,https://www.douyin.com/video/7428912571337428239
星闻,1140337,2024/10/23 20:16,#搞笑 #爆笑名场面 #上学 老师：我嘞个四年级的小孩哥啊，原来感冒的是我啊！,1分:35秒,1834,83,168,0,5967,7.43E+18,,https://www.douyin.com/discover?modal_id=7428912571337428239,7428912571337428239,https://www.douyin.com/video/7428912571337428239
是你婷姐呀！,6392,2024/10/23 17:38,小孩哥不舒服和哦呐呐带他看医生、顺便带他们俩剪头发#后妈 #继子 #记录真实生活 #日常vlog,21分:50秒,320,14,82,0,19,7.43E+18,,https://www.douyin.com/discover?modal_id=7428902965664107811,7428902965664107811,https://www.douyin.com/video/7428902965664107811
剪辑刘一手,521381,2024/10/23 20:30,于敏和于妈走错产房，把别人家孩子当自己孩子了 #功勋 #鹅滴神片 #经典剧好看 @腾讯视频 @腾讯视频电视剧,1分:59秒,344,23,1,0,6,7.43E+18,腾讯视频旗下官方账号,https://www.douyin.com/discover?modal_id=7428913612586011938,7428913612586011938,https://www.douyin.com/video/7428913612586011938
毒舌娱乐,5283436,2024/10/21 18:30,小孩哥真就完全是凭实力站在C位上的，太可爱啦！ #可爱到爆炸?? #小孩哥 #逻辑鬼才,1分:17秒,3763,187,134,12,2895,7.43E+18,,https://www.douyin.com/discover?modal_id=7428138247324175651,7428138247324175651,https://www.douyin.com/video/7428138247324175651
泗阳融媒,990816,2024/10/6 16:42,小孩哥随妈妈一起进站接舅舅，一把拽住舅舅 抱起尖叫，“绝对是全网第一个外甥先认出舅的~”#舅舅与外甥 #惊不惊喜意不意外,0分:10秒,522,44,52,0,241,7.42E+18,泗阳县融媒体中心官方账号,https://www.douyin.com/discover?modal_id=7422580310551825698,7422580310551825698,https://www.douyin.com/video/7422580310551825698
糕冷南北の,260,2024/10/22 2:27,当生活里闯入了一个小孩哥，后续又将怎么样呢？#听潮阁鲸 #听潮阁瞬 #听潮阁梓洺,1分:55秒,405,48,17,0,28,7.43E+18,,https://www.douyin.com/discover?modal_id=7428297218571996466,7428297218571996466,https://www.douyin.com/video/7428297218571996466
志胜,141,2024/10/12 20:00,此时，一位小孩哥轻轻地碎掉了。#泉州婚礼跟拍 #婚礼现场  #拍摄花絮 #婚礼搞笑瞬间 #人类迷惑行为大赏,0分:14秒,40140,1035,9158,169,111067,7.42E+18,,https://www.douyin.com/discover?modal_id=7424857700539845900,7424857700539845900,https://www.douyin.com/video/7424857700539845900
身边的一束光,1618,2024/10/23 23:10,腾勃64强晋级情况！ 张泰艺强势晋级，孔德京掉入敗部！#张泰艺 #赵汝亮 #孔德京 #台球 #是时候展现真正的技术了,0分:34秒,255,16,15,0,12,7.43E+18,,https://www.douyin.com/discover?modal_id=7428988723536121129,7428988723536121129,https://www.douyin.com/video/7428988723536121129
拾月@,1124,2024/10/16 12:42,视频来自@海涛老师的儿子（大哥) 2023年4月19日视频作品#小大哥#小小军娃#爱国#男孩#小孩哥,1分:2秒,2871,197,162,6,96,7.43E+18,,https://www.douyin.com/discover?modal_id=7426229227789372723,7426229227789372723,https://www.douyin.com/video/7426229227789372723
拾月@,1124,2024/10/12 7:41,#小孩哥 #小小军娃 #小大哥#童年#海涛老师的儿子 视频来自@海涛老师的儿子（大哥) 2023年4月16日视频,0分:55秒,8576,443,352,0,124,7.42E+18,,https://www.douyin.com/discover?modal_id=7424667258695191859,7424667258695191859,https://www.douyin.com/video/7424667258695191859
陆饱饱饱饱不饱,59,2024/10/23 9:54,固排小孩哥说他以前也很喜欢玩玩具商，尤其是湖景村的大船，简直就是无敌点。每次他撞鬼，都是一个人孤独得在大船溜，没有人给他鼓掌。这回屠夫抓我，我去找他，真是vip观景位啊，全程发出惊……版本过低，升级后可展示全部信息,3分:3秒,169,3,15,0,43,7.43E+18,,https://www.douyin.com/discover?modal_id=7428783501161418003,7428783501161418003,https://www.douyin.com/video/7428783501161418003
新华社,68908172,2024/8/17 10:11,“小孩哥”在饭店和每桌顾客聊天，网友：破碎的爸爸和“社牛”的他@秀我中国,0分:24秒,456827,13627,14037,1459,516619,7.40E+18,新华通讯社官方账号,https://www.douyin.com/discover?modal_id=7403925258681584907,7403925258681584907,https://www.douyin.com/video/7403925258681584907
柴柴营销号,2382,2024/6/17 21:25,小孩哥：已老实，求放过 #小孩哥 #外国人 #中国文化 #搞笑 #外国小孩学习中文,0分:37秒,15795,674,1040,0,18324,7.38E+18,,https://www.douyin.com/discover?modal_id=7381462657242582272,7381462657242582272,https://www.douyin.com/video/7381462657242582272
断齿,84544,2024/10/22 12:39,天才女大上不了王者，另辟蹊径在10v10上荣耀 #王者荣耀 #女大学生 #10v10王者 #内容启发搜索 #王者荣耀创作者激励计划,1分:10秒,494,69,145,0,343,7.43E+18,,https://www.douyin.com/discover?modal_id=7428455037539601699,7428455037539601699,https://www.douyin.com/video/7428455037539601699
小张很好,202,2024/4/14 11:56,小孩哥全身都在用力#小孩哥 #杨公提,0分:12秒,245883,7317,7825,252,68923,7.36E+18,,https://www.douyin.com/discover?modal_id=7357566586741378323,7357566586741378323,https://www.douyin.com/video/7357566586741378323
